%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1622209514830527026,height,4,16,width,4,4,0,1.72530700837e-08,1.9399712059e-08,-4.24863983994e-08,-2.29550369824e-08,1.9399712059e-08,9.58718032962e-07,-2.05642862738e-07,-1.21596514191e-07,-4.24863983994e-08,-2.05642862738e-07,1.37952622481e-06,3.15783836413e-07,-2.29550369824e-08,-1.21596514191e-07,3.15783836413e-07,1.13219357445e-06
1622209515087951133,height,4,16,width,4,4,0,1.74222112292e-08,2.21931077959e-08,-4.22574757408e-08,-2.6536483233e-08,2.21931077959e-08,9.78219190984e-07,-1.91171139363e-07,-1.1538801914e-07,-4.22574757408e-08,-1.91171139363e-07,1.38889492973e-06,3.2274243722e-07,-2.6536483233e-08,-1.1538801914e-07,3.2274243722e-07,1.14024726372e-06
1622209515343622183,height,4,16,width,4,4,0,1.72547931498e-08,1.87934041662e-08,-4.31387974231e-08,-2.41160780234e-08,1.87934041662e-08,9.60615466283e-07,-1.9455107747e-07,-1.27867380684e-07,-4.31387974231e-08,-1.9455107747e-07,1.36902690429e-06,3.22540643083e-07,-2.41160780234e-08,-1.27867380684e-07,3.22540643083e-07,1.15092939268e-06
1622209515599103928,height,4,16,width,4,4,0,1.71134235671e-08,1.81320629622e-08,-4.31770565967e-08,-2.36606023662e-08,1.81320629622e-08,1.00790236957e-06,-1.88441262594e-07,-1.11601053732e-07,-4.31770565967e-08,-1.88441262594e-07,1.39504538765e-06,3.33712847578e-07,-2.36606023662e-08,-1.11601053732e-07,3.33712847578e-07,1.14181489153e-06
1622209515855140287,height,4,16,width,4,4,0,1.70749050454e-08,1.77018772973e-08,-4.35100240281e-08,-2.29422969511e-08,1.77018772973e-08,9.8842292573e-07,-1.80570992825e-07,-1.1527296806e-07,-4.35100240281e-08,-1.80570992825e-07,1.39928260978e-06,3.2972670283e-07,-2.29422969511e-08,-1.1527296806e-07,3.2972670283e-07,1.16792080007e-06
1622209516111222812,height,4,16,width,4,4,0,1.73961876015e-08,1.97404226299e-08,-4.29047375405e-08,-2.81471521646e-08,1.97404226299e-08,9.90105490928e-07,-1.73221664568e-07,-1.27360962665e-07,-4.29047375405e-08,-1.73221664568e-07,1.38929806326e-06,3.20331338344e-07,-2.81471521646e-08,-1.27360962665e-07,3.20331338344e-07,1.17532465538e-06
1622209516366892684,height,4,16,width,4,4,0,1.78420815899e-08,1.77108177013e-08,-4.34203535349e-08,-2.68968758377e-08,1.77108177013e-08,1.01313412415e-06,-1.86038704442e-07,-1.27851720322e-07,-4.34203535349e-08,-1.86038704442e-07,1.40537144944e-06,3.31787020968e-07,-2.68968758377e-08,-1.27851720322e-07,3.31787020968e-07,1.15977547921e-06
1622209516622874908,height,4,16,width,4,4,0,1.74361947103e-08,1.86974933314e-08,-4.35646789754e-08,-2.48432918681e-08,1.86974933314e-08,9.60907073022e-07,-1.67132043316e-07,-1.08115543185e-07,-4.35646789754e-08,-1.67132043316e-07,1.3878060372e-06,3.26467642253e-07,-2.48432918681e-08,-1.08115543185e-07,3.26467642253e-07,1.15260922939e-06
1622209516881879292,height,4,16,width,4,4,0,1.73429270944e-08,1.93974258877e-08,-4.57763214001e-08,-2.53161847041e-08,1.93974258877e-08,9.92644800135e-07,-2.04268701509e-07,-1.11371477374e-07,-4.57763214001e-08,-2.04268701509e-07,1.42383782986e-06,3.53251010665e-07,-2.53161847041e-08,-1.11371477374e-07,3.53251010665e-07,1.15071122764e-06
1622209517139817786,height,4,16,width,4,4,0,1.78100325599e-08,2.06481196585e-08,-4.5507935198e-08,-2.59976253858e-08,2.06481196585e-08,1.0059163742e-06,-1.85877354397e-07,-1.27916408132e-07,-4.5507935198e-08,-1.85877354397e-07,1.41631824135e-06,3.57340383061e-07,-2.59976253858e-08,-1.27916408132e-07,3.57340383061e-07,1.14673878215e-06
1622209517395400585,height,4,16,width,4,4,0,1.72413354704e-08,1.63982889489e-08,-4.17711305545e-08,-2.38211015358e-08,1.63982889489e-08,9.80783056548e-07,-1.77190514705e-07,-1.10747699011e-07,-4.17711305545e-08,-1.77190514705e-07,1.36592439048e-06,3.31626040406e-07,-2.38211015358e-08,-1.10747699011e-07,3.31626040406e-07,1.12978148081e-06
1622209517650655091,height,4,16,width,4,4,0,1.74578715928e-08,2.06344896725e-08,-4.52276545104e-08,-2.41741719975e-08,2.06344896725e-08,9.63042907642e-07,-1.93091295841e-07,-1.2095837576e-07,-4.52276545104e-08,-1.93091295841e-07,1.39735800531e-06,3.09205006488e-07,-2.41741719975e-08,-1.2095837576e-07,3.09205006488e-07,1.17720367143e-06
1622209517906642325,height,4,16,width,4,4,0,1.73528391656e-08,1.60206177213e-08,-4.19871177826e-08,-2.60507206917e-08,1.60206177213e-08,9.80742015599e-07,-1.98771417104e-07,-1.29396383386e-07,-4.19871177826e-08,-1.98771417104e-07,1.39618691719e-06,3.21888222743e-07,-2.60507206917e-08,-1.29396383386e-07,3.21888222743e-07,1.15319551242e-06
1622209518161553263,height,4,16,width,4,4,0,1.79226748998e-08,2.13002202543e-08,-4.5352138045e-08,-2.39771313915e-08,2.13002202543e-08,9.66814127423e-07,-2.00021304408e-07,-1.35274419222e-07,-4.5352138045e-08,-2.00021304408e-07,1.42237797718e-06,3.37875633249e-07,-2.39771313915e-08,-1.35274419222e-07,3.37875633249e-07,1.14566694265e-06
1622209518417365016,height,4,16,width,4,4,0,1.72661049902e-08,1.81857213732e-08,-4.20396304435e-08,-2.49722944545e-08,1.81857213732e-08,9.80475306278e-07,-1.93793098902e-07,-1.24113313404e-07,-4.20396304435e-08,-1.93793098902e-07,1.39970609325e-06,3.2672463135e-07,-2.49722944545e-08,-1.24113313404e-07,3.2672463135e-07,1.1505293287e-06
1622209518674209449,height,4,16,width,4,4,0,1.75998895457e-08,2.07759871529e-08,-4.51911006394e-08,-2.36558825861e-08,2.07759871529e-08,9.81113657872e-07,-1.85231584737e-07,-1.23709469335e-07,-4.51911006394e-08,-1.85231584737e-07,1.39680798839e-06,3.16217352747e-07,-2.36558825861e-08,-1.23709469335e-07,3.16217352747e-07,1.13609689834e-06
1622209518930942953,height,4,16,width,4,4,0,1.70762852747e-08,1.79303718539e-08,-4.06772073802e-08,-2.32980479353e-08,1.79303718539e-08,9.86867235042e-07,-2.01262466248e-07,-1.22586342854e-07,-4.06772073802e-08,-2.01262466248e-07,1.38124403293e-06,3.36500249887e-07,-2.32980479353e-08,-1.22586342854e-07,3.36500249887e-07,1.16504577363e-06
1622209519185959464,height,4,16,width,4,4,0,1.73743970322e-08,1.71645542224e-08,-4.13870218097e-08,-2.55250451886e-08,1.71645542224e-08,9.75181137619e-07,-1.65250710893e-07,-1.06814205481e-07,-4.13870218097e-08,-1.65250710893e-07,1.41641783102e-06,3.20125423059e-07,-2.55250451886e-08,-1.06814205481e-07,3.20125423059e-07,1.1630905874e-06
1622209519444516700,height,4,16,width,4,4,0,1.73059540032e-08,1.9192322398e-08,-4.09701819137e-08,-2.40262121309e-08,1.9192322398e-08,9.74813360699e-07,-1.97389653067e-07,-1.16211147372e-07,-4.09701819137e-08,-1.97389653067e-07,1.37941424327e-06,3.02844000544e-07,-2.40262121309e-08,-1.16211147372e-07,3.02844000544e-07,1.15938587442e-06
1622209519695761877,height,4,16,width,4,4,0,1.75185252971e-08,1.88678139779e-08,-4.57016398059e-08,-2.48348559495e-08,1.88678139779e-08,9.70434257397e-07,-2.03657776865e-07,-1.07598594923e-07,-4.57016398059e-08,-2.03657776865e-07,1.42331714414e-06,3.26941261619e-07,-2.48348559495e-08,-1.07598594923e-07,3.26941261619e-07,1.13763314857e-06
1622209519951955432,height,4,16,width,4,4,0,1.74254051188e-08,1.73059149233e-08,-4.20269792301e-08,-2.26465761699e-08,1.73059149233e-08,9.98121663542e-07,-1.79980304438e-07,-1.28790489384e-07,-4.20269792301e-08,-1.79980304438e-07,1.38519806114e-06,3.37791760785e-07,-2.26465761699e-08,-1.28790489384e-07,3.37791760785e-07,1.16177636755e-06
1622209520206751503,height,4,16,width,4,4,0,1.73332086462e-08,1.87709030541e-08,-4.34033431418e-08,-2.38953781206e-08,1.87709030541e-08,9.59320800575e-07,-1.96426398702e-07,-1.16975670039e-07,-4.34033431418e-08,-1.96426398702e-07,1.40626593748e-06,3.39469352184e-07,-2.38953781206e-08,-1.16975670039e-07,3.39469352184e-07,1.21406412745e-06
1622209520464142592,height,4,16,width,4,4,0,1.71679879202e-08,1.71886700429e-08,-4.24027781776e-08,-2.37117561142e-08,1.71886700429e-08,9.79529545475e-07,-1.89006598816e-07,-1.31641129997e-07,-4.24027781776e-08,-1.89006598816e-07,1.38454402077e-06,3.35461720624e-07,-2.37117561142e-08,-1.31641129997e-07,3.35461720624e-07,1.16285980312e-06
1622209520721787213,height,4,16,width,4,4,0,1.7601090363e-08,1.83410460153e-08,-4.11143759038e-08,-2.20007763119e-08,1.83410460153e-08,9.73138867266e-07,-2.06670350167e-07,-1.12965373944e-07,-4.11143759038e-08,-2.06670350167e-07,1.43468707847e-06,3.35776832117e-07,-2.20007763119e-08,-1.12965373944e-07,3.35776832117e-07,1.13789599254e-06
1622209520975831460,height,4,16,width,4,4,0,1.7368188665e-08,1.88218258756e-08,-4.14720346953e-08,-2.31263381778e-08,1.88218258756e-08,9.81332050287e-07,-1.8830685633e-07,-1.20363139899e-07,-4.14720346953e-08,-1.8830685633e-07,1.40694623951e-06,3.23325650697e-07,-2.31263381778e-08,-1.20363139899e-07,3.23325650697e-07,1.15484442631e-06
1622209521231201221,height,4,16,width,4,4,0,1.75487890886e-08,2.1438269826e-08,-4.45596519683e-08,-2.57672816417e-08,2.1438269826e-08,9.86074269349e-07,-2.13652029402e-07,-1.36857693178e-07,-4.45596519683e-08,-2.13652029402e-07,1.4031554656e-06,3.47369564224e-07,-2.57672816417e-08,-1.36857693178e-07,3.47369564224e-07,1.14740737445e-06
1622209521487114365,height,4,16,width,4,4,0,1.73314500529e-08,2.08481250041e-08,-4.04594544534e-08,-2.4007878352e-08,2.08481250041e-08,9.90059447759e-07,-1.97413498881e-07,-1.25109508531e-07,-4.04594544534e-08,-1.97413498881e-07,1.40798704251e-06,3.51655103259e-07,-2.4007878352e-08,-1.25109508531e-07,3.51655103259e-07,1.17347008199e-06
1622209521744357641,height,4,16,width,4,4,0,1.70467995275e-08,2.03904715335e-08,-3.83007332516e-08,-2.40895765558e-08,2.03904715335e-08,9.79666424428e-07,-2.01509521958e-07,-1.32707398848e-07,-3.83007332516e-08,-2.01509521958e-07,1.38660311677e-06,3.36727026706e-07,-2.40895765558e-08,-1.32707398848e-07,3.36727026706e-07,1.15812827062e-06
1622209521999986531,height,4,16,width,4,4,0,1.74953065368e-08,1.72675065357e-08,-4.08027460708e-08,-2.35927153369e-08,1.72675065357e-08,9.63475031313e-07,-1.83761244443e-07,-1.03322967959e-07,-4.08027460708e-08,-1.83761244443e-07,1.3968717667e-06,3.22110594198e-07,-2.35927153369e-08,-1.03322967959e-07,3.22110594198e-07,1.16165972486e-06
1622209522255709485,height,4,16,width,4,4,0,1.71367826596e-08,1.76229626447e-08,-4.25091535305e-08,-2.33980852471e-08,1.76229626447e-08,9.86334725894e-07,-1.94291573052e-07,-1.1616729978e-07,-4.25091535305e-08,-1.94291573052e-07,1.39597079851e-06,3.36149128088e-07,-2.33980852471e-08,-1.1616729978e-07,3.36149128088e-07,1.18148682304e-06
1622209522515202946,height,4,16,width,4,4,0,1.72719207825e-08,1.62856430563e-08,-3.96993726781e-08,-2.21673825962e-08,1.62856430563e-08,9.75340867626e-07,-1.96660437268e-07,-1.25350041458e-07,-3.96993726781e-08,-1.96660437268e-07,1.39816552291e-06,3.21426881555e-07,-2.21673825962e-08,-1.25350041458e-07,3.21426881555e-07,1.12852535494e-06
1622209522768673793,height,4,16,width,4,4,0,1.75599339514e-08,1.99607228524e-08,-4.6480597149e-08,-2.47890596938e-08,1.99607228524e-08,9.65411004472e-07,-1.96619083681e-07,-1.0510633075e-07,-4.6480597149e-08,-1.96619083681e-07,1.4161477111e-06,3.24554349618e-07,-2.47890596938e-08,-1.0510633075e-07,3.24554349618e-07,1.16211947443e-06
1622209523028011647,height,4,16,width,4,4,0,1.73870375875e-08,1.72095067086e-08,-4.34360707402e-08,-2.48561100591e-08,1.72095067086e-08,1.00491695321e-06,-1.97213879005e-07,-1.13914509825e-07,-4.34360707402e-08,-1.97213879005e-07,1.35614129704e-06,3.06012452711e-07,-2.48561100591e-08,-1.13914509825e-07,3.06012452711e-07,1.13924534162e-06
1622209523282317903,height,4,16,width,4,4,0,1.76236181204e-08,1.91559550444e-08,-4.50740778035e-08,-2.76437930324e-08,1.91559550444e-08,9.91220531432e-07,-1.9322993694e-07,-1.20386403069e-07,-4.50740778035e-08,-1.9322993694e-07,1.43879196912e-06,3.22681131593e-07,-2.76437930324e-08,-1.20386403069e-07,3.22681131593e-07,1.20475897347e-06
1622209523556860583,height,4,16,width,4,4,0,1.74125247554e-08,2.04016377126e-08,-4.2887869256e-08,-2.22901270774e-08,2.04016377126e-08,9.66857896856e-07,-1.91958037021e-07,-1.19276890587e-07,-4.2887869256e-08,-1.91958037021e-07,1.39624182793e-06,3.34212103326e-07,-2.22901270774e-08,-1.19276890587e-07,3.34212103326e-07,1.13594728646e-06
1622209523810378100,height,4,16,width,4,4,0,1.73470056097e-08,1.78190457945e-08,-4.5568597784e-08,-2.4176753044e-08,1.78190457945e-08,9.51944116423e-07,-1.87423012221e-07,-8.90958204991e-08,-4.5568597784e-08,-1.87423012221e-07,1.43208387726e-06,3.4853965758e-07,-2.4176753044e-08,-8.90958204991e-08,3.4853965758e-07,1.17600757221e-06
1622209524066355286,height,4,16,width,4,4,0,1.76755552417e-08,1.85062720703e-08,-4.23861976628e-08,-2.66813042771e-08,1.85062720703e-08,9.8005318705e-07,-1.99669656809e-07,-1.15654735566e-07,-4.23861976628e-08,-1.99669656809e-07,1.33051230478e-06,3.2946965689e-07,-2.66813042771e-08,-1.15654735566e-07,3.2946965689e-07,1.16802107186e-06
1622209524321214648,height,4,16,width,4,4,0,1.78488139824e-08,2.02549443884e-08,-4.37306084677e-08,-2.30836718629e-08,2.02549443884e-08,9.95939217319e-07,-2.02147973027e-07,-1.4610301946e-07,-4.37306084677e-08,-2.02147973027e-07,1.39642918384e-06,3.37597214184e-07,-2.30836718629e-08,-1.4610301946e-07,3.37597214184e-07,1.16854573662e-06
1622209524578455297,height,4,16,width,4,4,0,1.74586354262e-08,1.985703868e-08,-4.14569214513e-08,-2.45083064954e-08,1.985703868e-08,9.8148689176e-07,-1.88709350368e-07,-1.2674802008e-07,-4.14569214513e-08,-1.88709350368e-07,1.36547350849e-06,3.31247207441e-07,-2.45083064954e-08,-1.2674802008e-07,3.31247207441e-07,1.16895125757e-06
1622209524833284743,height,4,16,width,4,4,0,1.72987313363e-08,2.03363619278e-08,-4.12448386555e-08,-2.4832299772e-08,2.03363619278e-08,9.93134449345e-07,-1.98573459897e-07,-1.18844390329e-07,-4.12448386555e-08,-1.98573459897e-07,1.36793232741e-06,3.24565036181e-07,-2.4832299772e-08,-1.18844390329e-07,3.24565036181e-07,1.14123918138e-06
1622209525092120417,height,4,16,width,4,4,0,0.000421811302658,0.00323220528662,-0.00280161993578,-0.00223235879093,0.00323220528662,0.0257334560156,-0.0217005666345,-0.0167811475694,-0.00280161993578,-0.0217005666345,0.0279459003359,0.0272774640471,-0.00223235879093,-0.0167811475694,0.0272774640471,0.0292992722243
1622209525345950744,height,4,16,width,4,4,0,0.00165809853934,0.0129103818908,-0.0111717274413,-0.00893454719335,0.0129103818908,0.104397013783,-0.0883963406086,-0.0688589736819,-0.0111717274413,-0.0883963406086,0.113834634423,0.110518999398,-0.00893454719335,-0.0688589736819,0.110518999398,0.11742322892
1622209525602754764,height,4,16,width,4,4,0,0.00145678315312,0.0113205192611,-0.00982002448291,-0.00781766977161,0.0113205192611,0.0914163067937,-0.0770395547152,-0.0593955330551,-0.00982002448291,-0.0770395547152,0.0994648709893,0.096491150558,-0.00781766977161,-0.0593955330551,0.096491150558,0.102846354246
1622209525857064682,height,4,16,width,4,4,0,0.00168644939549,0.0130686843768,-0.0111115258187,-0.00879708584398,0.0130686843768,0.105383485556,-0.0853819996119,-0.0644134655595,-0.0111115258187,-0.0853819996119,0.114706628025,0.111676409841,-0.00879708584398,-0.0644134655595,0.111676409841,0.118945106864
1622209526113286640,height,4,16,width,4,4,0,0.00149255467113,0.0116936480626,-0.00996779464185,-0.00781837198883,0.0116936480626,0.0952310189605,-0.0776571929455,-0.0581321567297,-0.00996779464185,-0.0776571929455,0.1037068367,0.10001949966,-0.00781837198883,-0.0581321567297,0.10001949966,0.10572258383
1622209526372585172,height,4,16,width,4,4,0,0.000761426461395,0.00591448694468,-0.00502644944936,-0.00394996069372,0.00591448694468,0.0479604639113,-0.0389288552105,-0.0291161574423,-0.00502644944936,-0.0389288552105,0.0522092059255,0.0505804009736,-0.00394996069372,-0.0291161574423,0.0505804009736,0.0538478009403
1622209526628363060,height,4,16,width,4,4,0,1.75024528204e-08,1.70523595244e-08,-4.18674446223e-08,-2.59427945792e-08,1.70523595244e-08,9.80414142759e-07,-1.87564197063e-07,-1.00720008334e-07,-4.18674446223e-08,-1.87564197063e-07,1.40518363878e-06,3.33125399266e-07,-2.59427945792e-08,-1.00720008334e-07,3.33125399266e-07,1.14192425826e-06
1622209526879286764,height,4,16,width,4,4,0,1.76661778539e-08,1.84821313809e-08,-4.2449737947e-08,-2.18998224e-08,1.84821313809e-08,9.78676894192e-07,-1.69841655406e-07,-1.09769906942e-07,-4.2449737947e-08,-1.69841655406e-07,1.37768029163e-06,3.23798076352e-07,-2.18998224e-08,-1.09769906942e-07,3.23798076352e-07,1.1515666074e-06
1622209527140022371,height,4,16,width,4,4,0,1.75511463141e-08,1.99417904412e-08,-4.31679936241e-08,-2.50511860145e-08,1.99417904412e-08,9.57064912654e-07,-2.03696416179e-07,-1.24434976101e-07,-4.31679936241e-08,-2.03696416179e-07,1.42923386193e-06,3.47205116213e-07,-2.50511860145e-08,-1.24434976101e-07,3.47205116213e-07,1.17716149362e-06
1622209527394340871,height,4,16,width,4,4,0,1.76544414643e-08,2.03500523099e-08,-4.34835776275e-08,-2.34077823791e-08,2.03500523099e-08,9.85329847936e-07,-1.89350316759e-07,-1.16864327993e-07,-4.34835776275e-08,-1.89350316759e-07,1.37634276598e-06,3.43462630781e-07,-2.34077823791e-08,-1.16864327993e-07,3.43462630781e-07,1.14089448289e-06
1622209527649156640,height,4,16,width,4,4,0,1.71608949273e-08,1.88725870487e-08,-4.51639508015e-08,-2.52524259281e-08,1.88725870487e-08,9.672686474e-07,-1.86374620625e-07,-1.19635288343e-07,-4.51639508015e-08,-1.86374620625e-07,1.43981424117e-06,3.56657579914e-07,-2.52524259281e-08,-1.19635288343e-07,3.56657579914e-07,1.1574495602e-06
1622209527884172972,height,4,16,width,4,4,0,1.74123364616e-08,1.80321073628e-08,-4.18329371143e-08,-2.44441817898e-08,1.80321073628e-08,9.99819803837e-07,-2.03493172535e-07,-1.19320205272e-07,-4.18329371143e-08,-2.03493172535e-07,1.40149143135e-06,3.20227172779e-07,-2.44441817898e-08,-1.19320205272e-07,3.20227172779e-07,1.15185389404e-06
1622209528142344248,height,4,16,width,4,4,0,1.74543455245e-08,1.7298052768e-08,-4.4354028006e-08,-2.52245797583e-08,1.7298052768e-08,9.54025722422e-07,-1.81955002176e-07,-1.21112918805e-07,-4.4354028006e-08,-1.81955002176e-07,1.39365033647e-06,3.2877616718e-07,-2.52245797583e-08,-1.21112918805e-07,3.2877616718e-07,1.16232979508e-06
1622209528402868934,height,4,16,width,4,4,0,1.72981522439e-08,2.0743799567e-08,-4.57087132588e-08,-2.38964812382e-08,2.0743799567e-08,1.01514137896e-06,-2.25420293987e-07,-1.09570770235e-07,-4.57087132588e-08,-2.25420293987e-07,1.43269289765e-06,3.46934740492e-07,-2.38964812382e-08,-1.09570770235e-07,3.46934740492e-07,1.16488126878e-06
1622209528653911596,height,4,16,width,4,4,0,1.74496452843e-08,1.71199534549e-08,-4.43927206106e-08,-2.53826701879e-08,1.71199534549e-08,9.75444208962e-07,-1.81393346566e-07,-1.38027075991e-07,-4.43927206106e-08,-1.81393346566e-07,1.39850214964e-06,3.43805396597e-07,-2.53826701879e-08,-1.38027075991e-07,3.43805396597e-07,1.19280332456e-06
1622209528914125170,height,4,16,width,4,4,0,1.71509402236e-08,2.02853076559e-08,-4.38001812597e-08,-2.47869724745e-08,2.02853076559e-08,1.0024112953e-06,-2.05777496376e-07,-1.33610186026e-07,-4.38001812597e-08,-2.05777496376e-07,1.42931264691e-06,3.39783980507e-07,-2.47869724745e-08,-1.33610186026e-07,3.39783980507e-07,1.1535307749e-06
1622209529170788293,height,4,16,width,4,4,0,1.7871233382e-08,2.06711003869e-08,-4.27837925088e-08,-2.51171510257e-08,2.06711003869e-08,1.01757632365e-06,-2.21424812707e-07,-1.22162418847e-07,-4.27837925088e-08,-2.21424812707e-07,1.42520980262e-06,3.31688767119e-07,-2.51171510257e-08,-1.22162418847e-07,3.31688767119e-07,1.16870216971e-06
1622209529441985437,height,4,16,width,4,4,0,1.77090502262e-08,1.81898798246e-08,-4.20933119472e-08,-2.39144561931e-08,1.81898798246e-08,9.71121835391e-07,-1.79673094181e-07,-1.08501204465e-07,-4.20933119472e-08,-1.79673094181e-07,1.40111751534e-06,3.32004390202e-07,-2.39144561931e-08,-1.08501204465e-07,3.32004390202e-07,1.17984711778e-06
1622209529697469584,height,4,16,width,4,4,0,1.71140861482e-08,1.91785787251e-08,-4.22392929522e-08,-2.45958222678e-08,1.91785787251e-08,9.68756239672e-07,-1.94800080067e-07,-1.174643387e-07,-4.22392929522e-08,-1.94800080067e-07,1.3906528693e-06,3.06937067762e-07,-2.45958222678e-08,-1.174643387e-07,3.06937067762e-07,1.15645082133e-06
1622209529951901533,height,4,16,width,4,4,0,1.81064816474e-08,1.93924858394e-08,-4.49390391566e-08,-2.54284167056e-08,1.93924858394e-08,1.00150373328e-06,-2.05699961953e-07,-1.25747519064e-07,-4.49390391566e-08,-2.05699961953e-07,1.42014562243e-06,3.30980128638e-07,-2.54284167056e-08,-1.25747519064e-07,3.30980128638e-07,1.16634396363e-06
1622209530208684930,height,4,16,width,4,4,0,1.70617653339e-08,1.64694196059e-08,-4.24032116086e-08,-2.34011459099e-08,1.64694196059e-08,9.8122086456e-07,-1.97511994315e-07,-1.22182598261e-07,-4.24032116086e-08,-1.97511994315e-07,1.39070448313e-06,3.15267215001e-07,-2.34011459099e-08,-1.22182598261e-07,3.15267215001e-07,1.16745377454e-06
1622209530465542700,height,4,16,width,4,4,0,1.76984684686e-08,1.91856113219e-08,-4.48262902353e-08,-2.36594122072e-08,1.91856113219e-08,9.76679984888e-07,-1.74265949227e-07,-1.01740909031e-07,-4.48262902353e-08,-1.74265949227e-07,1.40034205742e-06,3.09814936372e-07,-2.36594122072e-08,-1.01740909031e-07,3.09814936372e-07,1.13951159619e-06
1622209530720529490,height,4,16,width,4,4,0,1.71103220481e-08,1.97302902905e-08,-4.38144454051e-08,-2.53057077515e-08,1.97302902905e-08,1.00064744402e-06,-1.97798797785e-07,-1.22996553387e-07,-4.38144454051e-08,-1.97798797785e-07,1.39716144076e-06,3.33827557597e-07,-2.53057077515e-08,-1.22996553387e-07,3.33827557597e-07,1.14341685276e-06
1622209530975854538,height,4,16,width,4,4,0,0.000823841895908,0.00645362073556,-0.00541703402996,-0.00422868086025,0.00645362073556,0.0525696054101,-0.0425065755844,-0.0317816697061,-0.00541703402996,-0.0425065755844,0.0569864735007,0.0550007410347,-0.00422868086025,-0.0317816697061,0.0550007410347,0.0580793060362
