%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1622550796120569467,height,4,16,width,4,4,0,2.61590376027e-08,2.1819237972e-08,1.03606456747e-08,6.66959465434e-08,2.1819237972e-08,5.06740616402e-06,-1.61848845437e-07,1.59035010938e-07,1.03606456747e-08,-1.61848845437e-07,3.43715510098e-06,1.883766231e-06,6.66959465434e-08,1.59035010938e-07,1.883766231e-06,8.95218363439e-06
1622550796407868203,height,4,16,width,4,4,0,2.6120090979e-08,2.41132571688e-08,8.81398332098e-09,6.62921380012e-08,2.41132571688e-08,5.09428264195e-06,-1.35103263688e-07,8.38237284029e-08,8.81398332098e-09,-1.35103263688e-07,3.40238830177e-06,1.90733067029e-06,6.62921380012e-08,8.38237284029e-08,1.90733067029e-06,8.95737321116e-06
1622550796877044589,height,4,16,width,4,4,0,2.6126338426e-08,2.47717562019e-08,9.84033121654e-09,6.50828795301e-08,2.47717562019e-08,5.08504217578e-06,-1.28571343794e-07,1.11362403743e-07,9.84033121654e-09,-1.28571343794e-07,3.42636326423e-06,1.89737545497e-06,6.50828795301e-08,1.11362403743e-07,1.89737545497e-06,8.95337689144e-06
1622550797212837019,height,4,16,width,4,4,0,2.60569876787e-08,2.29271908125e-08,9.8511074853e-09,6.69730582104e-08,2.29271908125e-08,5.03300589116e-06,-2.2079886719e-07,7.11192384983e-08,9.8511074853e-09,-2.2079886719e-07,3.34577407557e-06,1.82119151759e-06,6.69730582104e-08,7.11192384983e-08,1.82119151759e-06,8.81275354914e-06
1622550797597288120,height,4,16,width,4,4,0,2.6233973216e-08,2.57604941822e-08,1.08412239186e-08,6.50571934102e-08,2.57604941822e-08,5.0195581025e-06,-1.11637810107e-07,1.45039493304e-07,1.08412239186e-08,-1.11637810107e-07,3.39222106049e-06,1.89934371519e-06,6.50571934102e-08,1.45039493304e-07,1.89934371519e-06,8.91258969205e-06
1622550797980496201,height,4,16,width,4,4,0,2.60316923573e-08,1.918539283e-08,1.19869074666e-08,6.49645457429e-08,1.918539283e-08,5.1176193665e-06,-1.02634352572e-07,1.43291117638e-07,1.19869074666e-08,-1.02634352572e-07,3.40568840329e-06,1.9127833184e-06,6.49645457429e-08,1.43291117638e-07,1.9127833184e-06,8.9889863375e-06
1622550798369137086,height,4,16,width,4,4,0,2.61308663596e-08,2.53495251457e-08,9.4479180035e-09,6.42347544044e-08,2.53495251457e-08,5.07013237439e-06,-1.45529199358e-07,9.43346307736e-08,9.4479180035e-09,-1.45529199358e-07,3.42369389728e-06,1.9562739908e-06,6.42347544044e-08,9.43346307736e-08,1.9562739908e-06,9.08177116798e-06
1622550798765967352,height,4,16,width,4,4,0,2.62739945356e-08,2.20488693969e-08,7.16556947111e-09,7.00857256675e-08,2.20488693969e-08,5.04548233948e-06,-1.65428048149e-07,1.1155313473e-07,7.16556947111e-09,-1.65428048149e-07,3.42204771187e-06,1.9574019916e-06,7.00857256675e-08,1.1155313473e-07,1.9574019916e-06,9.07393041416e-06
1622550799138622609,height,4,16,width,4,4,0,2.62352681801e-08,2.31529195815e-08,7.09227210294e-09,6.16366762074e-08,2.31529195815e-08,5.11106418344e-06,-1.57135247036e-07,1.07164943586e-07,7.09227210294e-09,-1.57135247036e-07,3.39027656082e-06,1.8845280465e-06,6.16366762074e-08,1.07164943586e-07,1.8845280465e-06,8.82758286025e-06
1622550799526767787,height,4,16,width,4,4,0,2.6021849564e-08,2.39709159189e-08,1.01247392692e-08,6.80025564748e-08,2.39709159189e-08,5.11068628839e-06,-1.66435114579e-07,9.81659766808e-08,1.01247392692e-08,-1.66435114579e-07,3.43381339007e-06,1.91487629309e-06,6.80025564748e-08,9.81659766808e-08,1.91487629309e-06,8.87437454367e-06
1622550799906427316,height,4,16,width,4,4,0,2.58737262726e-08,2.08053521078e-08,1.01133323938e-08,6.96860880112e-08,2.08053521078e-08,5.0422172535e-06,-1.71134828975e-07,4.13326048943e-08,1.01133323938e-08,-1.71134828975e-07,3.43172541761e-06,1.90479329376e-06,6.96860880112e-08,4.13326048943e-08,1.90479329376e-06,9.10576454771e-06
1622550800283253254,height,4,16,width,4,4,0,2.59973340633e-08,1.68631757447e-08,9.64963309258e-09,6.60808723296e-08,1.68631757447e-08,5.02306147609e-06,-1.45929959672e-07,1.04651881827e-07,9.64963309258e-09,-1.45929959672e-07,3.39544294548e-06,1.87950001873e-06,6.60808723296e-08,1.04651881827e-07,1.87950001873e-06,8.84386918187e-06
1622550800682364332,height,4,16,width,4,4,0,2.60050274647e-08,2.11588897514e-08,1.13363070042e-08,6.8362439265e-08,2.11588897514e-08,5.07415688844e-06,-1.73936371084e-07,1.04151105518e-07,1.13363070042e-08,-1.73936371084e-07,3.42063754033e-06,1.90273317457e-06,6.8362439265e-08,1.04151105518e-07,1.90273317457e-06,8.90837600309e-06
1622550801069155598,height,4,16,width,4,4,0,2.65745505601e-08,1.96212752712e-08,1.08180246983e-08,6.03287304557e-08,1.96212752712e-08,5.10258132635e-06,-1.78347008273e-07,9.19002829392e-08,1.08180246983e-08,-1.78347008273e-07,3.3989961139e-06,1.88875094409e-06,6.03287304557e-08,9.19002829392e-08,1.88875094409e-06,8.84275232238e-06
1622550801435854838,height,4,16,width,4,4,0,2.5779469226e-08,2.34956409884e-08,1.25581918198e-08,6.08825629911e-08,2.34956409884e-08,5.07502591063e-06,-1.35021636538e-07,8.68541931709e-08,1.25581918198e-08,-1.35021636538e-07,3.40995211445e-06,1.89242894066e-06,6.08825629911e-08,8.68541931709e-08,1.89242894066e-06,8.8428869276e-06
1622550801819797575,height,4,16,width,4,4,0,2.61514010447e-08,2.01094767505e-08,1.1900436192e-08,7.15352470593e-08,2.01094767505e-08,5.10031259182e-06,-1.69923325188e-07,9.05831640807e-08,1.1900436192e-08,-1.69923325188e-07,3.38036261383e-06,1.81691314083e-06,7.15352470593e-08,9.05831640807e-08,1.81691314083e-06,8.70342137205e-06
1622550802203117251,height,4,16,width,4,4,0,0.00253310054541,0.0308263842016,-0.00611335923895,-0.0253608971834,0.0308263842016,0.483462870121,0.0753296017647,-0.161107316613,-0.00611335923895,0.0753296017647,0.255797803402,0.301270961761,-0.0253608971834,-0.161107316613,0.301270961761,0.498440235853
1622550802591547686,height,4,16,width,4,4,0,0.00257201725617,0.0312675274909,-0.00636970205233,-0.0255189202726,0.0312675274909,0.490758568048,0.0742380097508,-0.159551739693,-0.00636970205233,0.0742380097508,0.259619742632,0.30897834897,-0.0255189202726,-0.159551739693,0.30897834897,0.506376564503
1622550802965329057,height,4,16,width,4,4,0,0.00254976609722,0.031261023134,-0.00672474736348,-0.0263293255121,0.031261023134,0.484069138765,0.0593305081129,-0.185806035995,-0.00672474736348,0.0593305081129,0.25447499752,0.299947679043,-0.0263293255121,-0.185806035995,0.299947679043,0.50118303299
1622550803354141277,height,4,16,width,4,4,0,2.62556323349e-08,2.08927559697e-08,1.0825211838e-08,6.39610320263e-08,2.08927559697e-08,5.0876219575e-06,-1.82527415404e-07,9.17925149224e-08,1.0825211838e-08,-1.82527415404e-07,3.43431270267e-06,1.97542385649e-06,6.39610320263e-08,9.17925149224e-08,1.97542385649e-06,8.98425605556e-06
1622550803743439805,height,4,16,width,4,4,0,2.62317243482e-08,2.43468960548e-08,8.55454018733e-09,6.80667469055e-08,2.43468960548e-08,5.11511689183e-06,-1.151093727e-07,1.65359011817e-07,8.55454018733e-09,-1.151093727e-07,3.42978933077e-06,1.93331811715e-06,6.80667469055e-08,1.65359011817e-07,1.93331811715e-06,9.05820434127e-06
1622550804126944631,height,4,16,width,4,4,0,2.6255532859e-08,2.38852990719e-08,1.20417755767e-08,7.13845622613e-08,2.38852990719e-08,5.11174312123e-06,-1.87103680105e-07,1.54543656095e-07,1.20417755767e-08,-1.87103680105e-07,3.43695614902e-06,1.89668583062e-06,7.13845622613e-08,1.54543656095e-07,1.89668583062e-06,9.08737365535e-06
1622550804515648420,height,4,16,width,4,4,0,2.63241215492e-08,1.89729103539e-08,9.95387594571e-09,6.98396505072e-08,1.89729103539e-08,5.04473200635e-06,-1.50910679508e-07,1.06210421791e-07,9.95387594571e-09,-1.50910679508e-07,3.4078027511e-06,1.91714184439e-06,6.98396505072e-08,1.06210421791e-07,1.91714184439e-06,8.99246515473e-06
1622550804901710394,height,4,16,width,4,4,0,2.60744705827e-08,2.1891962021e-08,1.31013235816e-08,6.88726515818e-08,2.1891962021e-08,5.03266301166e-06,-1.41540922982e-07,1.55433582449e-07,1.31013235816e-08,-1.41540922982e-07,3.43413171322e-06,1.96494011107e-06,6.88726515818e-08,1.55433582449e-07,1.96494011107e-06,9.06635978026e-06
1622550805284062221,height,4,16,width,4,4,0,2.62099781878e-08,2.18160494114e-08,1.30498261086e-08,6.76017606338e-08,2.18160494114e-08,5.04786657984e-06,-1.32915658924e-07,1.14047061572e-07,1.30498261086e-08,-1.32915658924e-07,3.38960444424e-06,1.95154962057e-06,6.76017606338e-08,1.14047061572e-07,1.95154962057e-06,9.18516707316e-06
1622550805663467018,height,4,16,width,4,4,0,2.63140478296e-08,2.14689777067e-08,1.0651159954e-08,6.75697933161e-08,2.14689777067e-08,5.05748357682e-06,-1.3301568913e-07,1.81103743557e-07,1.0651159954e-08,-1.3301568913e-07,3.41894769917e-06,1.95801430891e-06,6.75697933161e-08,1.81103743557e-07,1.95801430891e-06,9.0217054094e-06
1622550806051335580,height,4,16,width,4,4,0,2.59868890851e-08,1.9534731166e-08,1.38358400292e-08,6.21567579628e-08,1.9534731166e-08,5.02128568769e-06,-1.49794786353e-07,8.93644980238e-08,1.38358400292e-08,-1.49794786353e-07,3.42651787832e-06,1.96264409169e-06,6.21567579628e-08,8.93644980238e-08,1.96264409169e-06,9.09609934752e-06
