%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.dim2.label,field.layout.dim2.size,field.layout.dim2.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31
1626290688726837839,height,4,32,width,4,8,imag,2,2,0,3.34755370091e-08,0.0,-3.80232234587e-11,-5.55426682425e-09,-2.3182630926e-08,-9.17432618763e-09,1.41581848467e-08,-6.76266331823e-09,-3.80232234587e-11,5.55426682425e-09,2.53481334767e-06,0.0,4.86900866292e-08,-2.3270642302e-08,-1.88743420892e-08,3.49107054376e-08,-2.3182630926e-08,9.17432618763e-09,4.86900866292e-08,2.3270642302e-08,4.60466935692e-06,0.0,-1.19888696304e-07,1.00731959662e-07,1.41581848467e-08,6.76266331823e-09,-1.88743420892e-08,-3.49107054376e-08,-1.19888696304e-07,-1.00731959662e-07,5.99556369707e-06,0.0
1626290688854546670,height,4,32,width,4,8,imag,2,2,0,3.32848664186e-08,0.0,-2.39891351228e-09,-2.17695395044e-09,-2.39832100846e-08,-8.554175146e-09,1.34501147997e-08,-1.06041477821e-08,-2.39891351228e-09,2.17695395044e-09,2.50627772402e-06,0.0,2.79689000848e-08,-2.92050277295e-08,1.06328101879e-08,1.72833800605e-08,-2.39832100846e-08,8.554175146e-09,2.79689000848e-08,2.92050277295e-08,4.61055697087e-06,0.0,-8.37873699311e-08,1.19900562368e-07,1.34501147997e-08,1.06041477821e-08,1.06328101879e-08,-1.72833800605e-08,-8.37873699311e-08,-1.19900562368e-07,6.06811272519e-06,0.0
1626290688982490329,height,4,32,width,4,8,imag,2,2,0,3.35119381134e-08,0.0,-3.22142690301e-09,-3.03250341505e-11,-2.45885196648e-08,-8.34701374686e-09,9.11592223929e-09,-6.37738661879e-09,-3.22142690301e-09,3.03250341505e-11,2.52677182289e-06,0.0,5.53645591594e-08,-3.07212957296e-08,2.19477307439e-08,-8.20046608396e-09,-2.45885196648e-08,8.34701374686e-09,5.53645591594e-08,3.07212957296e-08,4.56874658994e-06,0.0,-1.02973778837e-07,1.07662380344e-07,9.11592223929e-09,6.37738661879e-09,2.19477307439e-08,8.20046608396e-09,-1.02973778837e-07,-1.07662380344e-07,6.042352652e-06,0.0
1626290689110352594,height,4,32,width,4,8,imag,2,2,0,3.32511973511e-08,0.0,2.50704479399e-09,-3.96959309867e-09,-2.51734260104e-08,-9.38450028798e-09,1.49242005421e-08,-7.58801110834e-09,2.50704479399e-09,3.96959309867e-09,2.50084781328e-06,0.0,3.91306045344e-08,-1.43981662148e-08,-2.88943091675e-08,2.3877593236e-09,-2.51734260104e-08,9.38450028798e-09,3.91306045344e-08,1.43981662148e-08,4.63750575364e-06,0.0,-1.0260397687e-07,1.25442596755e-07,1.49242005421e-08,7.58801110834e-09,-2.88943091675e-08,-2.3877593236e-09,-1.0260397687e-07,-1.25442596755e-07,6.02018417339e-06,0.0
1626290689238767744,height,4,32,width,4,8,imag,2,2,0,3.34800098756e-08,0.0,-6.04479688526e-10,-2.91825696941e-09,-2.18830127352e-08,-8.52741610657e-09,1.10988604973e-08,-5.27388088756e-09,-6.04479688526e-10,2.91825696941e-09,2.50400307777e-06,0.0,2.78186327307e-08,-2.20076010748e-08,4.12827034779e-08,1.73887269028e-08,-2.18830127352e-08,8.52741610657e-09,2.78186327307e-08,2.20076010748e-08,4.63398191641e-06,0.0,-1.18367282198e-07,1.40021811035e-07,1.10988604973e-08,5.27388088756e-09,4.12827034779e-08,-1.73887269028e-08,-1.18367282198e-07,-1.40021811035e-07,6.04495380685e-06,0.0
1626290689366428521,height,4,32,width,4,8,imag,2,2,0,5.47134746398e-08,0.0,4.43197265554e-08,-2.09645165228e-07,-2.26140130621e-07,-5.88931413859e-07,-1.41078615457e-07,1.77392784906e-08,4.43197265554e-08,2.09645165228e-07,4.56734278487e-06,0.0,5.15861438544e-06,-3.14847898153e-06,-6.02778470693e-07,-1.39206247241e-06,-2.26140130621e-07,5.88931413859e-07,5.15861438544e-06,3.14847898153e-06,2.20885576709e-05,0.0,5.58608689971e-07,-4.38379993284e-06,-1.41078615457e-07,-1.77392784906e-08,-6.02778470693e-07,1.39206247241e-06,5.58608689971e-07,4.38379993284e-06,7.18246701581e-06,0.0
1626290689494374526,height,4,32,width,4,8,imag,2,2,0,3.31805871667e-08,0.0,-1.83468451542e-09,5.79336689732e-10,-2.25186127523e-08,-7.937447144e-09,1.36550779573e-08,-5.43154987653e-09,-1.83468451542e-09,-5.79336689732e-10,2.50499670074e-06,0.0,4.53481199258e-08,-3.56511584698e-08,7.29133642352e-09,-4.82068829299e-10,-2.25186127523e-08,7.937447144e-09,4.53481199258e-08,3.56511584698e-08,4.6609511628e-06,0.0,-8.42952871949e-08,1.3003823085e-07,1.36550779573e-08,5.43154987653e-09,7.29133642352e-09,4.82068829299e-10,-8.42952871949e-08,-1.3003823085e-07,6.12061012362e-06,0.0
1626290689626516130,height,4,32,width,4,8,imag,2,2,0,3.30711209529e-08,0.0,6.29971769195e-11,-3.62898600059e-09,-2.82684116115e-08,-9.32569221845e-09,1.3574636526e-08,-8.04091371265e-09,6.29971769195e-11,3.62898600059e-09,2.50150628744e-06,0.0,-1.97729885798e-08,-3.27074154427e-08,2.13442525876e-08,-2.23685194811e-08,-2.82684116115e-08,9.32569221845e-09,-1.97729885798e-08,3.27074154427e-08,4.60903174826e-06,0.0,-1.00664323099e-07,1.44059384866e-07,1.3574636526e-08,8.04091371265e-09,2.13442525876e-08,2.23685194811e-08,-1.00664323099e-07,-1.44059384866e-07,6.04713068242e-06,0.0
1626290689752572507,height,4,32,width,4,8,imag,2,2,0,3.34186118778e-08,0.0,3.88224813408e-10,1.02321828788e-09,-2.74183626914e-08,-8.63047056043e-09,1.28169395097e-08,-7.76165620664e-09,3.88224813408e-10,-1.02321828788e-09,2.49876075031e-06,0.0,3.32239729062e-08,-2.26266667624e-08,1.10407913922e-08,-1.91688420692e-09,-2.74183626914e-08,8.63047056043e-09,3.32239729062e-08,2.26266667624e-08,4.57014311905e-06,0.0,-6.11976957998e-08,1.08793308584e-07,1.28169395097e-08,7.76165620664e-09,1.10407913922e-08,1.91688420692e-09,-6.11976957998e-08,-1.08793308584e-07,6.01876172368e-06,0.0
1626290689878129802,height,4,32,width,4,8,imag,2,2,0,3.35830137033e-08,0.0,-6.6449606928e-10,-1.71913994151e-09,-2.14918092212e-08,-7.10532788162e-09,1.71371148383e-08,-1.11739204556e-08,-6.6449606928e-10,1.71913994151e-09,2.52070776696e-06,0.0,5.20644185542e-08,-1.8163508031e-08,9.51391054826e-09,4.62768277032e-08,-2.14918092212e-08,7.10532788162e-09,5.20644185542e-08,1.8163508031e-08,4.61215131509e-06,0.0,-1.14671770746e-07,1.48556722479e-07,1.71371148383e-08,1.11739204556e-08,9.51391054826e-09,-4.62768277032e-08,-1.14671770746e-07,-1.48556722479e-07,6.07304127698e-06,0.0
1626290690006940344,height,4,32,width,4,8,imag,2,2,0,3.35275629482e-08,0.0,1.17957099643e-09,-1.22951016035e-09,-2.73398246264e-08,-1.02176400674e-08,1.10209690263e-08,-4.73985206639e-09,1.17957099643e-09,1.22951016035e-09,2.48697187999e-06,0.0,3.10959826777e-08,-4.18521084455e-09,2.18389857309e-08,3.25424380776e-08,-2.73398246264e-08,1.02176400674e-08,3.10959826777e-08,4.18521084455e-09,4.60684896098e-06,0.0,-1.2497930868e-07,1.37225043773e-07,1.10209690263e-08,4.73985206639e-09,2.18389857309e-08,-3.25424380776e-08,-1.2497930868e-07,-1.37225043773e-07,6.04591696174e-06,0.0
1626290690134874450,height,4,32,width,4,8,imag,2,2,0,3.32972867056e-08,0.0,-1.98752292402e-10,-3.11751180426e-09,-2.6897250649e-08,-1.09107860524e-08,1.38988980325e-08,-6.86878998124e-09,-1.98752292402e-10,3.11751180426e-09,2.51782444138e-06,0.0,4.01233180014e-08,1.16500071812e-08,3.14435197879e-08,2.32689867374e-08,-2.6897250649e-08,1.09107860524e-08,4.01233180014e-08,-1.16500071812e-08,4.67111840408e-06,0.0,-9.87138193409e-08,1.05178393994e-07,1.38988980325e-08,6.86878998124e-09,3.14435197879e-08,-2.32689867374e-08,-9.87138193409e-08,-1.05178393994e-07,6.0453749029e-06,0.0
1626290690262496199,height,4,32,width,4,8,imag,2,2,0,3.33074723358e-08,0.0,-1.4901569978e-09,-1.62588653652e-09,-2.33804193783e-08,-7.9675084308e-09,1.27184849319e-08,-1.10679518883e-08,-1.4901569978e-09,1.62588653652e-09,2.48428045779e-06,0.0,6.92610369057e-09,5.20740339738e-09,7.1163626103e-09,1.13581888339e-09,-2.33804193783e-08,7.9675084308e-09,6.92610369057e-09,-5.20740339738e-09,4.64375034426e-06,0.0,-7.69695773783e-08,1.1863865268e-07,1.27184849319e-08,1.10679518883e-08,7.1163626103e-09,-1.13581888339e-09,-7.69695773783e-08,-1.1863865268e-07,6.0013599068e-06,0.0
1626290690391445065,height,4,32,width,4,8,imag,2,2,0,3.34923022649e-08,0.0,6.28793628277e-10,-1.44433243143e-09,-2.50813272373e-08,-6.77665834559e-09,1.28387789289e-08,-6.37387520541e-09,6.28793628277e-10,1.44433243143e-09,2.50709831562e-06,0.0,1.85102191352e-08,-1.95184099994e-08,5.28577501768e-08,1.98366603144e-08,-2.50813272373e-08,6.77665834559e-09,1.85102191352e-08,1.95184099994e-08,4.59463080915e-06,0.0,-1.46029634607e-07,1.18549770889e-07,1.28387789289e-08,6.37387520541e-09,5.28577501768e-08,-1.98366603144e-08,-1.46029634607e-07,-1.18549770889e-07,6.06860385233e-06,0.0
