%time,field.data
1626291027899606835,326.0
1626291028050801246,72.0
1626291028306726188,331.0
1626291028558895161,330.0
1626291028707448032,331.0
1626291028950449473,329.0
1626291029087452598,317.0
1626291029328817695,329.0
1626291029592543722,327.0
1626291029859417145,64.0
1626291030109603073,331.0
1626291030259053833,332.0
1626291030488487686,324.0
1626291030637569298,23.0
1626291030870935825,22.0
1626291031122630439,22.0
1626291031376221791,22.0
1626291031632686265,22.0
1626291031797257163,22.0
1626291032017518455,326.0
1626291032177413939,323.0
1626291032415564735,327.0
1626291032670377022,330.0
1626291032928060029,336.0
1626291033075523182,334.0
1626291033297965581,322.0
1626291033552697582,332.0
1626291033728804210,307.0
1626291033983157951,324.0
1626291034237201268,331.0
1626291034494397416,331.0
1626291034753277330,318.0
1626291035008490133,21.0
1626291035217033025,22.0
1626291035397531876,22.0
1626291035644069594,21.0
1626291035897774795,22.0
1626291036155271701,22.0
1626291036416842833,324.0
1626291036669850340,334.0
1626291036895996403,324.0
1626291037044255588,332.0
1626291037279456721,325.0
1626291037536874371,330.0
1626291037667396978,317.0
1626291037906731261,332.0
1626291038087308299,331.0
1626291038290102430,322.0
1626291038544204286,324.0
1626291038692884811,327.0
1626291038930503470,330.0
1626291039183034090,324.0
1626291039329965366,328.0
1626291039568727718,319.0
1626291039705312665,323.0
1626291039955500197,318.0
1626291040249497123,329.0
1626291040465672833,333.0
1626291040605861379,322.0
1626291040846425775,330.0
1626291040998494399,326.0
1626291041235475079,317.0
1626291041373402936,336.0
1626291041619554457,317.0
1626291041756747536,325.0
1626291041999979485,329.0
1626291042162052819,325.0
1626291042398169296,330.0
1626291042550224328,327.0
1626291042779398887,321.0
1626291042908940502,319.0
1626291043149418079,330.0
1626291043298176511,328.0
1626291043539317809,331.0
1626291043789380986,328.0
1626291043939506118,24.0
1626291044176485768,24.0
1626291044314138604,24.0
1626291044562800024,24.0
1626291044697671033,24.0
1626291044942512661,24.0
1626291045095484550,24.0
1626291045328664497,71.0
1626291045471994130,331.0
1626291045714274074,326.0
1626291045847564770,329.0
1626291046097016540,330.0
1626291046246131392,329.0
1626291046482145107,326.0
1626291046751193494,327.0
1626291047009089976,321.0
1626291047153998068,325.0
1626291047390922065,327.0
1626291047552958429,329.0
1626291047804990563,332.0
1626291048059686411,343.0
1626291048320126220,330.0
1626291048572981471,22.0
1626291048833349206,22.0
1626291049090256232,22.0
1626291049342201351,22.0
1626291049594470496,23.0
1626291049857702121,329.0
1626291050062592347,327.0
1626291050202034139,316.0
1626291050448782583,335.0
1626291050588839273,326.0
1626291050834694964,330.0
1626291051090444768,330.0
1626291051346614138,323.0
1626291051506332370,333.0
1626291051772735852,332.0
1626291052026111607,327.0
1626291052288324308,305.0
1626291052544182368,320.0
1626291052798635955,315.0
1626291053058614186,24.0
1626291053308413136,24.0
1626291053566205877,24.0
1626291053821647128,24.0
1626291054076895353,23.0
1626291054336896484,23.0
1626291054588651191,23.0
1626291054845724799,23.0
1626291055104874374,23.0
1626291055357674868,23.0
1626291055616810368,23.0
1626291055874726564,23.0
1626291056124500195,332.0
1626291056392445177,327.0
1626291056642621751,322.0
1626291056893460461,325.0
1626291057148890774,337.0
1626291057405025719,23.0
1626291057661520342,22.0
1626291057870641467,23.0
1626291058007469185,23.0
1626291058261612700,24.0
1626291058415374751,24.0
1626291058643784247,24.0
1626291058898981886,327.0
1626291059153853617,323.0
1626291059291900018,330.0
1626291059538845531,328.0
1626291059793504038,326.0
1626291059931493580,329.0
1626291060182214149,332.0
1626291060432278674,326.0
1626291060568087755,326.0
1626291060817338492,334.0
1626291060970780754,327.0
1626291061202392093,333.0
1626291061458309640,320.0
1626291061712670436,20.0
1626291061850488641,327.0
1626291062098419872,84.0
1626291062246531944,338.0
1626291062480263210,330.0
1626291062614775054,327.0
1626291062861359599,343.0
1626291063000595807,326.0
1626291063248420812,329.0
1626291063409246454,317.0
1626291063680280632,325.0
1626291063937423279,326.0
1626291064195440684,331.0
1626291064398554460,334.0
1626291064692945486,331.0
1626291064961797927,317.0
1626291065214424377,328.0
1626291065468826146,327.0
1626291065727094008,330.0
1626291065979162879,322.0
1626291066241761259,327.0
1626291066492581737,23.0
1626291066754745775,23.0
1626291067009360664,23.0
1626291067264502157,22.0
1626291067474460146,22.0
1626291067610957083,330.0
1626291067857394330,330.0
1626291068005500014,331.0
1626291068240084543,333.0
1626291068382852626,320.0
1626291068627385131,319.0
1626291068762094411,328.0
1626291069008850575,323.0
1626291069159520838,72.0
1626291069408504210,323.0
1626291069540796355,335.0
1626291069778415377,326.0
1626291069910306523,333.0
1626291070163195767,326.0
1626291070309925233,327.0
1626291070546499533,323.0
1626291070800118679,23.0
1626291070955664023,23.0
1626291071187882085,23.0
1626291071324898096,23.0
1626291071567438780,23.0
1626291071710383662,23.0
1626291071993273290,22.0
1626291072258709546,318.0
1626291072510679306,336.0
1626291072769853507,331.0
1626291073021175044,322.0
1626291073277885573,330.0
1626291073535865786,325.0
1626291073745743899,331.0
1626291073884190076,331.0
1626291074128180573,326.0
1626291074276687706,325.0
1626291074516753511,302.0
1626291074653485748,323.0
1626291074899237041,325.0
1626291075037483948,332.0
1626291075275806945,23.0
1626291075428903720,23.0
1626291075664547328,23.0
1626291075801218440,23.0
1626291076066113572,23.0
1626291076195929622,23.0
1626291076434864372,23.0
1626291076585059705,327.0
1626291076816896382,332.0
1626291076953527391,334.0
1626291077213325779,325.0
1626291077365104996,324.0
1626291077600748032,335.0
1626291077750811693,331.0
1626291077969386256,320.0
1626291078108475354,326.0
1626291078354654371,303.0
1626291078491631497,327.0
1626291078739024772,330.0
1626291078989361141,334.0
1626291079130724251,334.0
1626291079376965772,316.0
1626291079525699614,331.0
1626291079761335972,21.0
1626291079905778229,21.0
1626291080142257728,21.0
1626291080281167966,20.0
1626291080529818683,21.0
1626291080786690402,22.0
1626291080956316483,22.0
1626291081217704816,330.0
1626291081473175276,318.0
1626291081726306220,335.0
1626291081936430390,331.0
1626291082190090701,332.0
1626291082327196803,333.0
1626291082577705812,324.0
1626291082756731589,328.0
1626291083006236810,324.0
1626291083261472601,330.0
1626291083521454803,331.0
1626291083777386779,303.0
1626291084033243065,19.0
1626291084289451329,22.0
1626291084541863152,22.0
1626291084796205177,22.0
1626291085053871095,23.0
