%time,field.data
1626289741174426064,329.0
1626289741295674985,340.0
1626289741425237434,330.0
1626289741552712920,336.0
1626289741680686029,330.0
1626289741808057375,329.0
1626289741936485449,332.0
1626289742064056280,319.0
1626289742192369069,332.0
1626289742320882651,327.0
1626289742448997111,336.0
1626289742575689235,336.0
1626289742703951746,333.0
1626289742831731818,332.0
1626289742961181379,332.0
1626289743088586653,339.0
1626289743216265793,335.0
1626289743343872400,336.0
1626289743472002820,336.0
1626289743600253947,336.0
1626289743729532766,336.0
1626289743857227853,336.0
1626289743984120180,336.0
1626289744113582080,336.0
1626289744241912699,336.0
1626289744369031317,336.0
1626289744497260448,336.0
1626289744623748556,334.0
1626289744752005395,334.0
1626289744879569580,334.0
1626289745008346173,334.0
1626289745137359128,334.0
1626289745264225288,332.0
1626289745392940770,336.0
1626289745521091539,339.0
1626289745649166043,328.0
1626289745777298754,336.0
1626289745905296823,342.0
1626289746033373595,325.0
1626289746186187565,333.0
1626289746312859677,332.0
1626289746429608140,335.0
1626289746542357569,334.0
1626289746670488789,334.0
1626289746798702079,334.0
1626289746927162824,333.0
1626289747054336500,336.0
1626289747182445365,333.0
1626289747310608653,339.0
1626289747438877943,325.0
1626289747567047286,336.0
1626289747694209381,336.0
1626289747823502535,336.0
1626289747956914973,336.0
1626289748084524080,336.0
1626289748213179020,336.0
1626289748341184511,336.0
1626289748468782990,336.0
1626289748596319118,336.0
1626289748724597245,336.0
1626289748853768015,336.0
1626289748982278842,334.0
1626289749110240513,328.0
1626289749237189842,335.0
1626289749364568223,336.0
1626289749493203714,331.0
1626289749621254804,332.0
1626289749748609648,338.0
1626289749876544223,330.0
1626289750004363381,335.0
1626289750132888579,333.0
1626289750255678796,342.0
1626289750383687707,334.0
1626289750513115672,331.0
1626289750647351627,332.0
1626289750774130464,342.0
1626289750903159930,335.0
1626289751031071127,335.0
1626289751158639098,341.0
1626289751285832334,328.0
1626289751415413534,334.0
1626289751542304274,328.0
1626289751669903439,345.0
1626289751798974508,326.0
1626289751927320174,337.0
1626289752054119546,339.0
1626289752182029087,336.0
1626289752310298523,336.0
1626289752438514140,336.0
1626289752565982135,336.0
1626289752694385256,336.0
1626289752822893968,336.0
1626289752950522201,335.0
1626289753078262486,335.0
1626289753206740750,335.0
1626289753334709670,335.0
1626289753462519208,331.0
1626289753590563470,331.0
1626289753717991657,336.0
1626289753847889787,333.0
1626289753974038899,327.0
1626289754103010574,335.0
1626289754230678473,335.0
1626289754353316904,331.0
1626289754480456089,334.0
1626289754608827279,335.0
1626289754736787927,331.0
1626289754864570748,334.0
1626289754992644399,335.0
1626289755120744916,329.0
1626289755248530085,335.0
1626289755375879373,331.0
1626289755505197597,324.0
1626289755633123854,334.0
1626289755761341056,334.0
1626289755889043409,339.0
1626289756017495530,333.0
1626289756143501592,331.0
1626289756271294260,332.0
1626289756400278818,333.0
1626289756526869947,336.0
1626289756653958641,336.0
1626289756782562527,336.0
1626289756911138770,336.0
1626289757039420099,336.0
1626289757167329258,336.0
1626289757295234302,336.0
1626289757422664792,336.0
1626289757551627624,336.0
1626289757679400201,336.0
1626289757806549745,336.0
1626289757934779394,336.0
1626289758062436881,331.0
1626289758190925641,338.0
1626289758319448431,335.0
1626289758446331849,333.0
1626289758575118361,330.0
1626289758703537416,329.0
1626289758830859704,332.0
1626289758958706667,328.0
1626289759087418807,333.0
1626289759214765323,331.0
1626289759343525289,328.0
1626289759471245579,330.0
1626289759598737152,339.0
1626289759727474179,335.0
1626289759855406234,335.0
1626289759983133737,333.0
1626289760112320519,328.0
1626289760239858545,326.0
1626289760367815065,331.0
1626289760496061439,336.0
1626289760623513147,332.0
1626289760751496124,325.0
1626289760879432783,325.0
1626289761006592763,336.0
1626289761134928829,336.0
1626289761264108490,336.0
1626289761419338333,336.0
1626289761547074188,336.0
1626289761673218665,336.0
1626289761802793503,336.0
1626289761929931952,336.0
1626289762058295835,336.0
1626289762186258568,336.0
1626289762287245871,334.0
1626289762415376843,332.0
1626289762542340008,337.0
1626289762670595413,326.0
1626289762799168830,331.0
