%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.dim2.label,field.layout.dim2.size,field.layout.dim2.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31
1623881808042619956,height,4,32,width,4,8,imag,2,2,0,7.54621609644e-08,0.0,1.2710545505e-08,-4.72413530517e-09,-4.52095676451e-08,-2.13198347865e-08,1.94107627749e-08,-3.90870056322e-08,1.2710545505e-08,4.72413530517e-09,3.85589282814e-06,0.0,-5.80474086576e-08,-4.49848300832e-08,8.7963876183e-08,-3.27955014257e-08,-4.52095676451e-08,2.13198347865e-08,-5.80474086576e-08,4.49848300832e-08,4.66891060569e-06,0.0,-2.26294911698e-08,3.73808404674e-07,1.94107627749e-08,3.90870056322e-08,8.7963876183e-08,3.27955014257e-08,-2.26294911698e-08,-3.73808404674e-07,4.8508341024e-06,0.0
1623881808124438308,height,4,32,width,4,8,imag,2,2,0,7.57157962994e-08,0.0,1.20287699801e-08,-9.11155595418e-10,-3.83928870917e-08,-1.74807723852e-08,1.94957934241e-08,-2.85316108517e-08,1.20287699801e-08,9.11155595418e-10,3.92801348426e-06,0.0,-7.83609905852e-08,-5.80689594187e-08,5.34454649426e-08,-1.03670089402e-07,-3.83928870917e-08,1.74807723852e-08,-7.83609905852e-08,5.80689594187e-08,4.66692836198e-06,0.0,1.57650728028e-08,3.48781128423e-07,1.94957934241e-08,2.85316108517e-08,5.34454649426e-08,1.03670089402e-07,1.57650728028e-08,-3.48781128423e-07,4.82885843667e-06,0.0
1623881808251187770,height,4,32,width,4,8,imag,2,2,0,7.55974483013e-08,0.0,1.33799025193e-08,-5.47994005728e-09,-3.90263217298e-08,-1.97269507396e-08,2.10476045481e-08,-3.30156950668e-08,1.33799025193e-08,5.47994005728e-09,3.86889996662e-06,0.0,-8.32129174455e-08,-5.83197099502e-08,5.95284959104e-08,-1.25020434893e-07,-3.90263217298e-08,1.97269507396e-08,-8.32129174455e-08,5.83197099502e-08,4.66562005386e-06,0.0,-5.3382017029e-08,3.69170209069e-07,2.10476045481e-08,3.30156950668e-08,5.95284959104e-08,1.25020434893e-07,-5.3382017029e-08,-3.69170209069e-07,4.8803599384e-06,0.0
1623881808377311031,height,4,32,width,4,8,imag,2,2,0,7.59667955208e-08,0.0,1.56329207357e-08,-4.44872050309e-09,-4.4989274528e-08,-8.47736369991e-09,2.96663724697e-08,-3.26906643977e-08,1.56329207357e-08,4.44872050309e-09,3.92781657865e-06,0.0,-9.18773750413e-08,-7.20769932627e-08,2.99517424196e-08,-8.62086366737e-08,-4.4989274528e-08,8.47736369991e-09,-9.18773750413e-08,7.20769932627e-08,4.63267724626e-06,0.0,-4.58530067249e-08,3.2018263596e-07,2.96663724697e-08,3.26906643977e-08,2.99517424196e-08,8.62086366737e-08,-4.58530067249e-08,-3.2018263596e-07,4.84491783936e-06,0.0
1623881808506274011,height,4,32,width,4,8,imag,2,2,0,7.60838858582e-08,0.0,1.88311251037e-08,-1.78179371257e-09,-4.75326302762e-08,-1.77737966567e-08,1.9343838531e-08,-3.26573221798e-08,1.88311251037e-08,1.78179371257e-09,3.88880062019e-06,0.0,-1.04266412393e-07,-6.86429970642e-08,8.72550884878e-08,-8.15462541937e-08,-4.75326302762e-08,1.77737966567e-08,-1.04266412393e-07,6.86429970642e-08,4.69013275506e-06,0.0,-5.77946153157e-08,3.67446745031e-07,1.9343838531e-08,3.26573221798e-08,8.72550884878e-08,8.15462541937e-08,-5.77946153157e-08,-3.67446745031e-07,4.81577490064e-06,0.0
1623881808638291777,height,4,32,width,4,8,imag,2,2,0,7.59324052524e-08,0.0,1.9163634235e-08,-4.3361065849e-09,-3.90736083489e-08,-2.02156122953e-08,2.66372577329e-08,-3.82281015732e-08,1.9163634235e-08,4.3361065849e-09,3.89485830965e-06,0.0,-8.76775629877e-08,-7.59108473858e-08,9.12719357871e-08,-1.07031858931e-07,-3.90736083489e-08,2.02156122953e-08,-8.76775629877e-08,7.59108473858e-08,4.63348669655e-06,0.0,-7.97381787265e-08,3.09175135271e-07,2.66372577329e-08,3.82281015732e-08,9.12719357871e-08,1.07031858931e-07,-7.97381787265e-08,-3.09175135271e-07,4.86231238028e-06,0.0
1623881808762479729,height,4,32,width,4,8,imag,2,2,0,7.50048556597e-08,0.0,1.63010032139e-08,-5.71025315921e-09,-4.4308688274e-08,-2.8712449307e-08,2.45116691389e-08,-3.02401481633e-08,1.63010032139e-08,5.71025315921e-09,3.90663808503e-06,0.0,-7.92884051748e-08,-6.85269156975e-08,9.9154952693e-08,-1.04581907578e-07,-4.4308688274e-08,2.8712449307e-08,-7.92884051748e-08,6.85269156975e-08,4.66780284114e-06,0.0,-6.73365008197e-08,3.4347075939e-07,2.45116691389e-08,3.02401481633e-08,9.9154952693e-08,1.04581907578e-07,-6.73365008197e-08,-3.4347075939e-07,4.79645495943e-06,0.0
1623881808891378543,height,4,32,width,4,8,imag,2,2,0,7.49548192402e-08,0.0,1.34870692392e-08,-2.91360408022e-10,-4.34370939217e-08,-1.86789321788e-08,2.72118363398e-08,-3.52887177257e-08,1.34870692392e-08,2.91360408022e-10,3.83660380976e-06,0.0,-1.25002898699e-07,-5.75742227227e-08,9.17821552093e-08,-8.18653802526e-08,-4.34370939217e-08,1.86789321788e-08,-1.25002898699e-07,5.75742227227e-08,4.63180049337e-06,0.0,-6.14943118649e-08,3.69317604054e-07,2.72118363398e-08,3.52887177257e-08,9.17821552093e-08,8.18653802526e-08,-6.14943118649e-08,-3.69317604054e-07,4.82000905322e-06,0.0
1623881809014615487,height,4,32,width,4,8,imag,2,2,0,7.47712505245e-08,0.0,1.85794863938e-08,-6.14563466783e-09,-4.08632558901e-08,-1.77683059377e-08,2.33401049599e-08,-3.50028663831e-08,1.85794863938e-08,6.14563466783e-09,3.91215371565e-06,0.0,-5.82557007078e-08,-9.5547385115e-08,4.80487614141e-08,-5.87532369423e-08,-4.08632558901e-08,1.77683059377e-08,-5.82557007078e-08,9.5547385115e-08,4.75863271276e-06,0.0,-2.65051394166e-08,3.09174311042e-07,2.33401049599e-08,3.50028663831e-08,4.80487614141e-08,5.87532369423e-08,-2.65051394166e-08,-3.09174311042e-07,4.80061589769e-06,0.0
1623881809146880404,height,4,32,width,4,8,imag,2,2,0,7.58593046157e-08,0.0,1.44728469209e-08,-2.8858957446e-09,-4.60492195486e-08,-2.28098393507e-08,2.0432205261e-08,-3.19120765369e-08,1.44728469209e-08,2.8858957446e-09,3.85328075936e-06,0.0,-8.33849682635e-08,-7.05516711719e-08,6.96141384537e-08,-2.28427925464e-08,-4.60492195486e-08,2.28098393507e-08,-8.33849682635e-08,7.05516711719e-08,4.65579933007e-06,0.0,-6.49389653162e-10,3.45767148247e-07,2.0432205261e-08,3.19120765369e-08,6.96141384537e-08,2.28427925464e-08,-6.49389653162e-10,-3.45767148247e-07,4.81845836475e-06,0.0
