%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.dim2.label,field.layout.dim2.size,field.layout.dim2.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31
1630648474827523075,height,4,32,width,4,8,imag,2,2,0,2.4638047762e-05,0.0,0.000123609730508,0.000438105227659,-0.000776944856625,0.000477748020785,-0.000269739888608,-0.000647302949801,0.000123609730508,-0.000438105227659,0.00917074084282,0.0,0.00499462801963,0.0176581759006,-0.0140200424939,0.00168743368704,-0.000776944856625,-0.000477748020785,0.00499462801963,-0.0176581759006,0.0370373539627,0.0,-0.00437718722969,0.0279191471636,-0.000269739888608,0.000647302949801,-0.0140200424939,-0.00168743368704,-0.00437718722969,-0.0279191471636,0.0217632669955,0.0
1630648474888518694,height,4,32,width,4,8,imag,2,2,0,2.66131555691e-05,0.0,8.84117544047e-05,0.000464465905679,-0.000872691802215,0.000436888512922,-0.00024344745907,-0.000702812743839,8.84117544047e-05,-0.000464465905679,0.00910208839923,0.0,0.00510534085333,0.0180511120707,-0.0141605548561,0.00207293732092,-0.000872691802215,-0.000436888512922,0.00510534085333,-0.0180511120707,0.0390021465719,0.0,-0.00382128963247,0.0292518567294,-0.00024344745907,0.000702812743839,-0.0141605548561,-0.00207293732092,-0.00382128963247,-0.0292518567294,0.0225219763815,0.0
1630648474910952428,height,4,32,width,4,8,imag,2,2,0,2.43645390583e-05,0.0,0.000115087117592,0.000437696260633,-0.000776209228206,0.000462999159936,-0.000257498497376,-0.000644072541036,0.000115087117592,-0.000437696260633,0.00918153766543,0.0,0.00506117055193,0.0176002010703,-0.013958433643,0.00172930443659,-0.000776209228206,-0.000462999159936,0.00506117055193,-0.0176002010703,0.0368467606604,0.0,-0.00437052315101,0.0277147442102,-0.000257498497376,0.000644072541036,-0.013958433643,-0.00172930443659,-0.00437052315101,-0.0277147442102,0.021565021947,0.0
1630648475011514469,height,4,32,width,4,8,imag,2,2,0,2.05193805414e-06,0.0,-2.25160015077e-08,1.3444028113e-08,-4.30956532682e-08,-3.38998518146e-08,3.30417804228e-09,1.30555557476e-08,-2.25160015077e-08,-1.3444028113e-08,5.63230469197e-06,0.0,5.2921265592e-08,-9.08066297711e-08,2.05666825792e-08,-1.88845383775e-08,-4.30956532682e-08,3.38998518146e-08,5.2921265592e-08,9.08066297711e-08,8.27494750411e-06,0.0,-4.04892830375e-08,3.72075028565e-08,3.30417804228e-09,-1.30555557476e-08,2.05666825792e-08,1.88845383775e-08,-4.04892830375e-08,-3.72075028565e-08,6.00934481554e-06,0.0
1630648475207102673,height,4,32,width,4,8,imag,2,2,0,2.02360683943e-06,0.0,-3.53895046601e-08,-2.30359309406e-09,-7.43655359514e-09,-7.14970038729e-09,4.10139389118e-09,-7.60942420186e-09,-3.53895046601e-08,2.30359309406e-09,5.58224837732e-06,0.0,1.32733370961e-08,-1.02454116302e-07,-1.57965569514e-08,-8.99211993755e-09,-7.43655359514e-09,7.14970038729e-09,1.32733370961e-08,1.02454116302e-07,8.19481374492e-06,0.0,-9.76782530415e-08,8.2867778417e-08,4.10139389118e-09,7.60942420186e-09,-1.57965569514e-08,8.99211993755e-09,-9.76782530415e-08,-8.2867778417e-08,6.01845977144e-06,0.0
1630648475248766207,height,4,32,width,4,8,imag,2,2,0,2.02875548894e-06,0.0,-6.6349742367e-10,-1.65222893145e-08,-3.98065864715e-08,3.86026535182e-08,9.3313987648e-09,7.13127601415e-09,-6.6349742367e-10,1.65222893145e-08,5.57619341635e-06,0.0,3.91957932777e-08,-1.33994831231e-07,6.98326374504e-09,5.50993295434e-09,-3.98065864715e-08,-3.86026535182e-08,3.91957932777e-08,1.33994831231e-07,8.26657469588e-06,0.0,-2.93372330873e-08,2.92802688762e-08,9.3313987648e-09,-7.13127601415e-09,6.98326374504e-09,-5.50993295434e-09,-2.93372330873e-08,-2.92802688762e-08,5.95475285081e-06,0.0
1630648475276846114,height,4,32,width,4,8,imag,2,2,0,2.05061951419e-06,0.0,-7.15758030623e-09,2.15742321785e-08,-5.91787419069e-08,-2.85690027191e-09,-8.35391666953e-09,-2.16589111091e-08,-7.15758030623e-09,-2.15742321785e-08,5.6298022173e-06,0.0,-8.03052646603e-09,-1.05566329012e-07,5.55306467476e-09,5.15501810128e-08,-5.91787419069e-08,2.85690027191e-09,-8.03052646603e-09,1.05566329012e-07,8.17349427962e-06,0.0,4.06374702777e-08,7.37360750236e-08,-8.35391666953e-09,2.16589111091e-08,5.55306467476e-09,-5.15501810128e-08,4.06374702777e-08,-7.37360750236e-08,6.10429424341e-06,0.0
1630648475322997608,height,4,32,width,4,8,imag,2,2,0,2.47087009484e-05,0.0,0.000123353776871,0.000439047027612,-0.000778991437983,0.000477733061416,-0.00026953293127,-0.000648753310088,0.000123353776871,-0.000439047027612,0.0091696139425,0.0,0.00499597936869,0.0176581032574,-0.0140178920701,0.00168855197262,-0.000778991437983,-0.000477733061416,0.00499597936869,-0.0176581032574,0.0370443351567,0.0,-0.00437652645633,0.0279198270291,-0.00026953293127,0.000648753310088,-0.0140178920701,-0.00168855197262,-0.00437652645633,-0.0279198270291,0.0217595435679,0.0
1630648475457960174,height,4,32,width,4,8,imag,2,2,0,2.06615686693e-06,0.0,-2.25629310791e-08,-1.17458354154e-08,-1.39629108276e-08,-4.89094631462e-09,-1.75032717209e-08,-9.59885149143e-09,-2.25629310791e-08,1.17458354154e-08,5.61581464353e-06,0.0,9.80797025818e-08,-6.43252207055e-08,7.48580841758e-09,1.77275150115e-09,-1.39629108276e-08,4.89094631462e-09,9.80797025818e-08,6.43252207055e-08,8.15973453427e-06,0.0,1.47537217998e-08,8.55146709e-08,-1.75032717209e-08,9.59885149143e-09,7.48580841758e-09,-1.77275150115e-09,1.47537217998e-08,-8.55146709e-08,5.99414534008e-06,0.0
1630648475631132622,height,4,32,width,4,8,imag,2,2,0,2.04615002986e-06,0.0,-1.55546295844e-08,-2.95180093701e-08,-3.86352994042e-08,-1.96862686153e-08,1.43826550669e-09,1.72278245003e-08,-1.55546295844e-08,2.95180093701e-08,5.61016122447e-06,0.0,4.31534061818e-08,-1.20916197943e-07,-2.20938156659e-09,-1.42884717391e-08,-3.86352994042e-08,1.96862686153e-08,4.31534061818e-08,1.20916197943e-07,8.13083534013e-06,0.0,-9.85447368151e-09,6.04739156529e-08,1.43826550669e-09,-1.72278245003e-08,-2.20938156659e-09,1.42884717391e-08,-9.85447368151e-09,-6.04739156529e-08,6.0478805608e-06,0.0
