%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.dim2.label,field.layout.dim2.size,field.layout.dim2.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31
1628092375420436606,height,4,32,width,4,8,imag,2,2,0,1.49703982544e-08,0.0,1.71807373883e-10,-3.20693072098e-09,-1.1282827117e-08,-6.83606460328e-09,-1.09311049101e-09,-1.02116679557e-08,1.71807373883e-10,3.20693072098e-09,4.11841347159e-06,0.0,4.63504008508e-08,-3.02259124396e-08,2.61063028972e-08,1.19803145182e-08,-1.1282827117e-08,6.83606460328e-09,4.63504008508e-08,3.02259124396e-08,5.15374176757e-06,0.0,1.5113732843e-07,2.4303255941e-07,-1.09311049101e-09,1.02116679557e-08,2.61063028972e-08,-1.19803145182e-08,1.5113732843e-07,-2.4303255941e-07,4.32256729255e-06,0.0
1628092375552443241,height,4,32,width,4,8,imag,2,2,0,1.51610723975e-08,0.0,2.62822541508e-10,-8.36912705804e-10,-1.12417390952e-08,-3.46696849007e-09,-4.42634789932e-10,-1.05929292005e-08,2.62822541508e-10,8.36912705804e-10,4.11956852986e-06,0.0,1.39892604167e-08,-1.35515321187e-09,6.95501327641e-08,4.26441504331e-09,-1.12417390952e-08,3.46696849007e-09,1.39892604167e-08,1.35515321187e-09,5.20153571415e-06,0.0,1.3131730725e-07,2.39627240717e-07,-4.42634789932e-10,1.05929292005e-08,6.95501327641e-08,-4.26441504331e-09,1.3131730725e-07,-2.39627240717e-07,4.32397837358e-06,0.0
1628092375682480250,height,4,32,width,4,8,imag,2,2,0,1.53425361304e-08,0.0,1.12141940178e-09,-1.52336476766e-09,-1.36050894994e-08,-6.17313178353e-09,-2.28890817411e-09,-1.21672787401e-08,1.12141940178e-09,1.52336476766e-09,4.12339113609e-06,0.0,4.06958129417e-08,1.08474456084e-08,2.2348178419e-08,3.72256785397e-08,-1.36050894994e-08,6.17313178353e-09,4.06958129417e-08,-1.08474456084e-08,5.16525187777e-06,0.0,1.55672523761e-07,2.56498168483e-07,-2.28890817411e-09,1.21672787401e-08,2.2348178419e-08,-3.72256785397e-08,1.55672523761e-07,-2.56498168483e-07,4.35228457718e-06,0.0
1628092375796325812,height,4,32,width,4,8,imag,2,2,0,1.50524179787e-08,0.0,1.74468428593e-09,-2.39818986891e-09,-1.2785838166e-08,-5.14688336395e-09,-2.83876006035e-10,-9.4239318571e-09,1.74468428593e-09,2.39818986891e-09,4.13611587646e-06,0.0,-3.06669392103e-08,6.51549303399e-09,6.30694287906e-08,2.07478709768e-08,-1.2785838166e-08,5.14688336395e-09,-3.06669392103e-08,-6.51549303399e-09,5.17168155056e-06,0.0,1.47568115949e-07,2.47217570859e-07,-2.83876006035e-10,9.4239318571e-09,6.30694287906e-08,-2.07478709768e-08,1.47568115949e-07,-2.47217570859e-07,4.33221657659e-06,0.0
1628092375924915052,height,4,32,width,4,8,imag,2,2,0,1.50804169152e-08,0.0,1.56624346825e-09,-2.31070651502e-09,-1.23352510428e-08,-3.24619398029e-09,-1.20699239492e-09,-8.56742321531e-09,1.56624346825e-09,2.31070651502e-09,4.11965947933e-06,0.0,5.3902724062e-08,2.26799512504e-09,3.65186387796e-08,3.01644469403e-08,-1.23352510428e-08,3.24619398029e-09,5.3902724062e-08,-2.26799512504e-09,5.09875962962e-06,0.0,1.11398797742e-07,2.21720895865e-07,-1.20699239492e-09,8.56742321531e-09,3.65186387796e-08,-3.01644469403e-08,1.11398797742e-07,-2.21720895865e-07,4.36515483671e-06,0.0
1628092376051976663,height,4,32,width,4,8,imag,2,2,0,1.50806691579e-08,0.0,-1.94467109083e-09,-2.64006305706e-09,-1.13805871393e-08,-6.71620448145e-09,-2.78443934576e-09,-6.9954522175e-09,-1.94467109083e-09,2.64006305706e-09,4.13947282141e-06,0.0,4.84262656641e-08,-2.01549710255e-08,6.48121778468e-09,-2.53371768011e-09,-1.13805871393e-08,6.71620448145e-09,4.84262656641e-08,2.01549710255e-08,5.11745383847e-06,0.0,1.36233609282e-07,2.19569031401e-07,-2.78443934576e-09,6.9954522175e-09,6.48121778468e-09,2.53371768011e-09,1.36233609282e-07,-2.19569031401e-07,4.31362877862e-06,0.0
1628092376180409291,height,4,32,width,4,8,imag,2,2,0,1.50468650872e-08,0.0,-2.15299181261e-10,-7.211441444e-10,-1.22169545591e-08,-4.56844428953e-09,-1.63515800899e-09,-9.59982848769e-09,-2.15299181261e-10,7.211441444e-10,4.17804494646e-06,0.0,-1.67394240691e-08,1.19582725944e-08,4.27063078234e-08,1.4836094131e-08,-1.22169545591e-08,4.56844428953e-09,-1.67394240691e-08,-1.19582725944e-08,5.1578563216e-06,0.0,1.89529956174e-07,2.24294595341e-07,-1.63515800899e-09,9.59982848769e-09,4.27063078234e-08,-1.4836094131e-08,1.89529956174e-07,-2.24294595341e-07,4.32256592831e-06,0.0
1628092376309130527,height,4,32,width,4,8,imag,2,2,0,1.51501691192e-08,0.0,6.9897115873e-10,-5.76570569066e-10,-9.21216969374e-09,-4.68794647546e-09,-1.57317714411e-09,-8.55819948242e-09,6.9897115873e-10,5.76570569066e-10,4.13545012634e-06,0.0,2.56449990133e-08,-5.50533929555e-09,7.08226579604e-08,1.81089614415e-08,-9.21216969374e-09,4.68794647546e-09,2.56449990133e-08,5.50533929555e-09,5.21096626471e-06,0.0,1.48062483163e-07,2.64930775984e-07,-1.57317714411e-09,8.55819948242e-09,7.08226579604e-08,-1.81089614415e-08,1.48062483163e-07,-2.64930775984e-07,4.39105178884e-06,0.0
1628092376440755975,height,4,32,width,4,8,imag,2,2,0,1.51101851031e-08,0.0,3.96312149764e-10,-1.48997392202e-09,-1.23175221134e-08,-5.16456832855e-09,-3.7890655058e-09,-1.06159223634e-08,3.96312149764e-10,1.48997392202e-09,4.11676091971e-06,0.0,1.61837698798e-09,-5.87551376441e-08,5.83034776014e-08,7.59960983032e-08,-1.23175221134e-08,5.16456832855e-09,1.61837698798e-09,5.87551376441e-08,5.13826989845e-06,0.0,1.29186545905e-07,2.74614677664e-07,-3.7890655058e-09,1.06159223634e-08,5.83034776014e-08,-7.59960983032e-08,1.29186545905e-07,-2.74614677664e-07,4.33338982475e-06,0.0
1628092376564683272,height,4,32,width,4,8,imag,2,2,0,1.50030032842e-08,0.0,5.9165650157e-10,7.6190942444e-10,-1.33807969149e-08,-4.30096136483e-09,-2.04503125545e-09,-6.7996479558e-09,5.9165650157e-10,-7.6190942444e-10,4.06584604207e-06,0.0,1.11815170456e-08,-3.70511337167e-08,7.17158030739e-08,1.41745477578e-08,-1.33807969149e-08,4.30096136483e-09,1.11815170456e-08,3.70511337167e-08,5.12909082317e-06,0.0,1.45686556152e-07,2.68119293878e-07,-2.04503125545e-09,6.7996479558e-09,7.17158030739e-08,-1.41745477578e-08,1.45686556152e-07,-2.68119293878e-07,4.28682778875e-06,0.0
