%time,field.data
1628092375443212826,348.0
1628092375576734512,345.0
1628092375701389996,346.0
1628092375817982593,342.0
1628092375944236371,346.0
1628092376071779528,347.0
1628092376200298505,345.0
1628092376330408105,346.0
1628092376458411792,346.0
1628092376585737226,346.0
1628092376712203175,350.0
1628092376840097657,348.0
1628092376971548505,344.0
1628092377097548493,344.0
1628092377225998425,344.0
1628092377353850177,344.0
1628092377481723240,344.0
1628092377608208995,344.0
1628092377736712799,344.0
1628092377865164823,344.0
1628092377992427430,344.0
1628092378121086206,344.0
1628092378250514172,344.0
1628092378377773862,351.0
1628092378503417513,337.0
1628092378632379579,350.0
1628092378760337246,346.0
1628092378888646030,346.0
1628092379015576220,345.0
1628092379146654904,340.0
1628092379275732631,350.0
1628092379404144908,346.0
1628092379530439887,349.0
1628092379657570464,348.0
1628092379788366264,346.0
1628092379915215384,351.0
1628092380047394985,349.0
1628092380171480174,349.0
1628092380298219370,348.0
1628092380427987413,350.0
1628092380555221759,350.0
1628092380683837103,344.0
1628092380810700931,350.0
1628092380937972951,345.0
1628092381067008615,348.0
1628092381194593987,349.0
1628092381322867541,348.0
1628092381450481375,344.0
1628092381580863985,344.0
1628092381706220428,344.0
1628092381835568955,344.0
1628092381961612126,344.0
1628092382091786729,344.0
1628092382216798669,344.0
1628092382344710141,344.0
1628092382472811730,344.0
1628092382599396107,344.0
1628092382728525879,350.0
1628092382856445657,343.0
1628092382985714294,350.0
1628092383112599947,349.0
1628092383242249116,349.0
1628092383369903348,346.0
1628092383499883981,346.0
1628092383635312504,348.0
1628092383752483901,347.0
1628092383880736152,348.0
1628092384019542914,348.0
1628092384136661020,354.0
1628092384264404087,349.0
1628092384394361841,347.0
1628092384520294898,349.0
1628092384651027799,344.0
1628092384778590764,347.0
1628092384906983240,348.0
1628092385035384850,351.0
1628092385163219709,351.0
1628092385291252433,349.0
1628092385418201788,348.0
1628092385546904094,348.0
1628092385674510958,348.0
1628092385806255571,348.0
1628092385932703781,29.0
1628092386059817018,29.0
1628092386188787950,29.0
1628092386312003407,29.0
1628092386441473203,29.0
1628092386569658923,29.0
1628092386696084322,29.0
1628092386824404504,29.0
1628092386952312134,29.0
1628092387080550331,29.0
1628092387211677560,29.0
1628092387339311444,349.0
1628092387481708248,348.0
1628092387595138638,351.0
1628092387722778880,345.0
1628092387850786266,349.0
1628092387978996045,346.0
1628092388106830391,349.0
1628092388251359030,347.0
1628092388370448048,349.0
1628092388492265675,349.0
1628092388622111237,350.0
1628092388747665683,344.0
1628092388874170191,350.0
1628092389002819233,351.0
1628092389130940323,344.0
1628092389259665725,342.0
1628092389387932358,349.0
1628092389513792554,345.0
1628092389642881934,349.0
1628092389770890478,346.0
1628092389898952486,352.0
1628092390026714128,349.0
1628092390160794896,349.0
1628092390280388690,29.0
1628092390411592582,29.0
1628092390552368553,29.0
1628092390680249786,29.0
1628092390808790251,29.0
1628092390934373492,29.0
1628092391050263002,29.0
1628092391178841263,29.0
1628092391306716854,29.0
1628092391435043434,29.0
1628092391571150620,29.0
1628092391690428079,348.0
1628092391818624367,346.0
1628092391946216275,346.0
1628092392074165537,351.0
1628092392203238967,346.0
1628092392333911639,345.0
1628092392472347741,349.0
1628092392599672956,351.0
1628092392726425784,347.0
1628092392843606505,345.0
1628092392969544230,347.0
1628092393098114648,346.0
1628092393243479546,347.0
1628092393366140228,343.0
1628092393483259584,350.0
1628092393611963531,345.0
1628092393739179447,345.0
1628092393866765159,350.0
1628092393994655818,352.0
1628092394124485419,350.0
1628092394265235033,350.0
1628092394400510880,349.0
1628092394526688414,347.0
1628092394655121446,346.0
1628092394782681113,30.0
1628092394905557404,30.0
1628092395018419750,30.0
1628092395147202400,30.0
1628092395275854923,30.0
1628092395404033626,30.0
1628092395540843770,30.0
1628092395658036030,30.0
1628092395784120432,30.0
1628092395911956194,30.0
1628092396040416877,30.0
1628092396168080810,347.0
1628092396296774142,351.0
1628092396424703648,349.0
1628092396554223294,345.0
1628092396681039098,348.0
1628092396809464828,349.0
1628092396936027163,349.0
1628092397066425271,344.0
1628092397192023689,348.0
1628092397322280329,344.0
1628092397448005576,349.0
1628092397575515269,347.0
1628092397704043300,347.0
1628092397831990087,351.0
1628092397960065809,344.0
1628092398087113390,348.0
1628092398215746407,349.0
1628092398344058228,350.0
1628092398472623718,348.0
1628092398602410286,349.0
1628092398728645466,344.0
1628092398859073244,349.0
1628092398986864979,349.0
1628092399115087960,352.0
1628092399242107116,30.0
1628092399370992874,30.0
1628092399498854952,30.0
1628092399626995896,30.0
1628092399755243542,30.0
1628092399883581838,30.0
1628092400011459556,30.0
1628092400138640148,30.0
1628092400272658386,30.0
1628092400407670365,30.0
1628092400521788353,30.0
1628092400650893495,348.0
1628092400779995808,344.0
1628092400918922578,347.0
1628092401031585197,354.0
1628092401160318607,349.0
1628092401288823037,347.0
1628092401416566760,346.0
1628092401545963858,349.0
1628092401674781545,348.0
1628092401818929646,349.0
1628092401930901260,347.0
1628092402059682056,347.0
1628092402187386337,352.0
1628092402315150464,344.0
1628092402443088949,348.0
1628092402570423487,349.0
1628092402697792283,348.0
1628092402826434047,351.0
1628092402954757952,348.0
1628092403082652225,351.0
1628092403210860530,345.0
1628092403338004685,347.0
1628092403467928061,345.0
1628092403595252851,346.0
1628092403723623488,30.0
1628092403850823860,30.0
1628092403978609229,30.0
1628092404106715345,30.0
1628092404235869379,30.0
1628092404373678850,30.0
1628092404490811891,30.0
1628092404619926662,30.0
1628092404747694772,30.0
1628092404875630798,30.0
1628092405004014125,30.0
1628092405129774500,348.0
