%time,field.data
1628092184453770989,351.0
1628092184587535526,349.0
1628092184714699504,347.0
1628092184842939374,349.0
1628092184971938516,346.0
1628092185098540687,347.0
1628092185224971176,343.0
1628092185352252976,339.0
1628092185481188201,339.0
1628092185608338086,339.0
1628092185735809055,339.0
1628092185864033296,339.0
1628092185995065165,339.0
1628092186135703585,339.0
1628092186266151324,339.0
1628092186380245735,339.0
1628092186507308112,339.0
1628092186634558539,350.0
1628092186761921565,345.0
1628092186891327030,349.0
1628092187015510010,347.0
1628092187143928165,348.0
1628092187271699625,341.0
1628092187399600384,348.0
1628092187529864114,348.0
1628092187657216793,347.0
1628092187786929255,346.0
1628092187926394752,349.0
1628092188042082067,347.0
1628092188172530378,347.0
1628092188301304994,347.0
1628092188426505212,350.0
1628092188555542539,346.0
1628092188683540807,351.0
1628092188810697741,352.0
1628092188938640645,348.0
1628092189066129075,349.0
1628092189195288980,346.0
1628092189322144977,343.0
1628092189451011328,348.0
1628092189579767512,349.0
1628092189712180768,347.0
1628092189834506163,339.0
1628092189964343482,339.0
1628092190105952553,339.0
1628092190220673367,339.0
1628092190345837197,339.0
1628092190475099954,339.0
1628092190603471651,339.0
1628092190731009339,339.0
1628092190857552114,339.0
1628092190987251829,339.0
1628092191114978203,339.0
1628092191243005426,350.0
1628092191369776285,349.0
1628092191499120276,346.0
1628092191626219111,350.0
1628092191755570649,347.0
1628092191882173174,352.0
1628092192010861571,349.0
1628092192139084413,348.0
1628092192267688760,340.0
1628092192395064229,347.0
1628092192522626090,352.0
1628092192650646386,346.0
1628092192778438114,347.0
1628092192906981400,345.0
1628092193034230006,350.0
1628092193162343149,352.0
1628092193290914615,344.0
1628092193438207757,345.0
1628092193547158293,346.0
1628092193673894126,344.0
1628092193803409315,347.0
1628092193930447606,348.0
1628092194059177112,351.0
1628092194189156054,339.0
1628092194334006117,339.0
1628092194462317530,339.0
1628092194584428919,339.0
1628092194698315528,339.0
1628092194827064856,339.0
1628092194956289360,339.0
1628092195083754333,339.0
1628092195210680265,339.0
1628092195338994567,339.0
1628092195467287406,339.0
1628092195595203006,346.0
1628092195723007022,349.0
1628092195851260187,350.0
1628092195979221142,345.0
1628092196107232135,349.0
1628092196235430491,345.0
1628092196362840859,345.0
1628092196490546210,350.0
1628092196618199823,345.0
1628092196762012339,346.0
1628092196875339742,342.0
1628092197002593430,348.0
1628092197131085844,350.0
1628092197258959483,345.0
1628092197387426718,348.0
1628092197515627417,345.0
1628092197643128525,347.0
1628092197771007106,346.0
1628092197898465844,346.0
1628092198027121783,348.0
1628092198154692547,347.0
1628092198281629462,344.0
1628092198410503823,348.0
1628092198538877855,345.0
1628092198665650641,347.0
1628092198794490730,339.0
1628092198923156003,339.0
1628092199053018293,339.0
1628092199177907639,339.0
1628092199310674164,339.0
1628092199453245470,339.0
1628092199579582775,339.0
1628092199708838004,339.0
1628092199834881002,339.0
1628092199948718197,339.0
1628092200074903745,346.0
1628092200203955368,348.0
