%time,field.data
1628091266699916697,76.0
1628091266826260364,81.0
1628091266953346628,84.0
1628091267081987072,82.0
1628091267210015924,81.0
1628091267336958567,6.0
1628091267464983190,6.0
1628091267593089628,315.0
1628091267722038752,317.0
1628091267849417480,319.0
1628091267993157080,319.0
1628091268117961031,346.0
1628091268249550805,345.0
1628091268377486359,344.0
1628091268503614066,346.0
1628091268617231926,345.0
1628091268746064457,344.0
1628091268874900937,345.0
1628091269002510058,345.0
1628091269132863857,345.0
1628091269257993922,344.0
1628091269392819613,346.0
1628091269529759221,347.0
1628091269656881677,345.0
1628091269767278325,346.0
1628091269895788436,347.0
1628091270022541482,346.0
1628091270150850491,345.0
1628091270278682070,347.0
1628091270407466033,345.0
1628091270535135919,346.0
1628091270662371844,345.0
1628091270791146395,344.0
1628091270931165530,343.0
1628091271046228145,346.0
1628091271174221352,346.0
1628091271319713451,346.0
1628091271437554672,5.0
1628091271561514289,5.0
1628091271689037383,5.0
1628091271817686457,4.0
1628091271947656803,3.0
1628091272073738041,1.0
1628091272202708320,1.0
1628091272329832401,1.0
1628091272457941038,1.0
1628091272586125791,1.0
1628091272713084433,1.0
1628091272841155712,347.0
1628091272969567796,345.0
1628091273097486023,346.0
1628091273237976402,346.0
1628091273361212780,347.0
1628091273479277059,344.0
1628091273622734981,345.0
1628091273747764443,344.0
1628091273862037387,345.0
1628091273990866999,346.0
1628091274118361182,345.0
1628091274246575620,345.0
1628091274374774035,345.0
1628091274502855316,345.0
1628091274650109267,346.0
1628091274777626220,345.0
1628091274889140001,345.0
1628091275018814794,344.0
1628091275146387628,344.0
1628091275273270961,345.0
1628091275402377399,345.0
1628091275530570604,345.0
1628091275670875783,345.0
1628091275782727514,344.0
1628091275913105956,1.0
1628091276039359412,1.0
1628091276165963481,1.0
1628091276294789803,1.0
1628091276423276204,1.0
1628091276550899714,1.0
1628091276678745080,1.0
1628091276821696703,1.0
1628091276946856566,1.0
1628091277065555158,1.0
1628091277193385195,348.0
1628091277323243465,344.0
1628091277450840613,346.0
1628091277577988570,346.0
1628091277705599758,344.0
1628091277833724986,344.0
1628091277961012494,346.0
1628091278088799275,346.0
1628091278217588897,345.0
1628091278345563911,346.0
1628091278472808139,347.0
1628091278601100240,346.0
1628091278730378496,345.0
1628091278857357974,345.0
1628091278985539883,345.0
1628091279112316916,345.0
1628091279241851725,344.0
1628091279369043761,343.0
1628091279497153057,346.0
1628091279626977520,344.0
1628091279768892709,344.0
1628091279891770544,346.0
1628091280009352660,344.0
1628091280137615365,345.0
1628091280266762158,346.0
1628091280393818565,1.0
1628091280522134876,1.0
1628091280650422833,1.0
1628091280778413867,1.0
1628091280906373440,1.0
1628091281033562339,1.0
1628091281176109966,1.0
1628091281304494809,1.0
1628091281418940695,1.0
1628091281548284979,1.0
1628091281673795408,1.0
1628091281801643316,346.0
1628091281927202817,345.0
1628091282055246515,346.0
1628091282182902479,344.0
1628091282311032100,346.0
1628091282438708220,344.0
1628091282566200499,346.0
1628091282696829167,345.0
1628091282825753001,346.0
1628091282954109480,346.0
1628091283081173509,344.0
1628091283210969674,345.0
1628091283337959652,344.0
1628091283474404445,344.0
1628091283591084187,345.0
1628091283718115796,344.0
1628091283847285630,344.0
1628091283977432677,345.0
1628091284117890138,345.0
1628091284241796090,345.0
1628091284361372998,345.0
1628091284491296349,345.0
1628091284619398626,344.0
1628091284745888130,69.0
1628091284873730136,69.0
1628091285002063915,70.0
1628091285129842939,71.0
1628091285258395227,71.0
1628091285386892765,70.0
1628091285513904976,69.0
1628091285643568945,307.0
1628091285771900203,67.0
1628091285898957690,67.0
1628091286036629439,67.0
1628091286151572239,346.0
1628091286282880794,343.0
1628091286410380459,345.0
1628091286536875133,343.0
1628091286665215888,345.0
1628091286792539769,343.0
1628091286921418594,344.0
1628091287050123297,343.0
1628091287178448794,345.0
1628091287304916599,344.0
1628091287434028809,347.0
1628091287561913051,343.0
1628091287688793850,344.0
1628091287817632840,344.0
1628091287945904369,344.0
1628091288074031393,344.0
1628091288217102031,345.0
1628091288328371938,344.0
1628091288457669613,344.0
1628091288587326283,346.0
1628091288713879461,345.0
1628091288841514653,346.0
1628091288969572092,344.0
1628091289097662458,344.0
1628091289225873794,6.0
1628091289369886234,76.0
1628091289492933798,311.0
1628091289622144335,76.0
1628091289755039323,76.0
1628091289876329451,76.0
1628091289994100975,75.0
1628091290121867430,75.0
1628091290265328606,75.0
1628091290390606180,75.0
1628091290505974784,75.0
1628091290631993934,344.0
1628091290766257440,345.0
1628091290890490145,344.0
1628091291017458595,346.0
1628091291145129380,345.0
1628091291271768858,343.0
1628091291402295985,344.0
1628091291530230928,346.0
1628091291657873163,345.0
1628091291786114353,344.0
1628091291914248907,345.0
1628091292042347085,347.0
1628091292169520695,344.0
1628091292296985869,343.0
1628091292424818228,346.0
1628091292553784126,344.0
1628091292694937562,346.0
1628091292820781647,344.0
1628091292936566315,346.0
1628091293075536473,344.0
1628091293190918504,343.0
1628091293318531669,344.0
1628091293447434870,345.0
1628091293575272179,343.0
1628091293702574498,74.0
1628091293831204206,310.0
1628091293960647470,74.0
1628091294087571119,74.0
1628091294214932340,75.0
1628091294343120686,74.0
1628091294471354607,75.0
1628091294600909911,75.0
1628091294726227062,75.0
1628091294855446371,76.0
1628091294983042297,76.0
1628091295111619558,346.0
1628091295253129711,345.0
1628091295369819642,345.0
1628091295511825815,345.0
1628091295640816539,345.0
1628091295767962449,343.0
1628091295893851988,344.0
1628091296009031582,345.0
1628091296137712107,345.0
1628091296264360529,346.0
