%time,field.data
1628091755147239750,346.0
1628091755290025554,345.0
1628091755417492628,348.0
1628091755544142946,347.0
1628091755658600898,347.0
1628091755786985058,348.0
1628091755913358150,333.0
1628091756041892015,333.0
1628091756170191567,333.0
1628091756297465422,333.0
1628091756426006197,333.0
1628091756553659681,333.0
1628091756681540240,333.0
1628091756809758767,333.0
1628091756938985970,333.0
1628091757065872099,333.0
1628091757195582304,333.0
1628091757323376600,346.0
1628091757449206802,345.0
1628091757578045275,346.0
1628091757704903276,349.0
1628091757833225712,345.0
1628091757962107600,349.0
1628091758089869050,345.0
1628091758218468095,346.0
1628091758350890566,349.0
1628091758488732241,348.0
1628091758616610784,348.0
1628091758730250539,345.0
1628091758857487034,347.0
1628091758985585897,348.0
1628091759113090809,346.0
1628091759242685129,346.0
1628091759385792926,348.0
1628091759509077318,346.0
1628091759626198797,346.0
1628091759754799542,346.0
1628091759885135504,347.0
1628091760018479713,350.0
1628091760136859604,347.0
1628091760265789373,16.0
1628091760394290372,17.0
1628091760521463151,17.0
1628091760649360714,17.0
1628091760778168152,17.0
1628091760902518941,16.0
1628091761035135153,16.0
1628091761162955178,16.0
1628091761289766896,16.0
1628091761417040918,16.0
1628091761546236998,16.0
1628091761674241052,348.0
1628091761803079065,342.0
1628091761929524155,347.0
1628091762058562108,348.0
1628091762185878452,347.0
1628091762327713350,346.0
1628091762438473078,347.0
1628091762569734550,346.0
1628091762708975252,348.0
1628091762825304442,345.0
1628091762952505468,347.0
1628091763082202978,347.0
1628091763209939509,347.0
1628091763337261969,348.0
1628091763466772197,347.0
1628091763594378756,349.0
1628091763721839014,346.0
1628091763849052843,342.0
1628091763979572201,347.0
1628091764106151480,346.0
1628091764233698336,347.0
1628091764362085775,346.0
1628091764490593877,347.0
1628091764628519569,346.0
1628091764742446507,9.0
1628091764871747259,17.0
1628091764999142073,17.0
1628091765142767051,17.0
1628091765265137526,17.0
1628091765387135975,17.0
1628091765514585500,17.0
1628091765641768945,17.0
1628091765773998464,17.0
1628091765897278311,17.0
1628091766025575900,17.0
1628091766155392984,348.0
1628091766282158610,349.0
1628091766409971939,346.0
1628091766537813745,347.0
1628091766666520185,347.0
1628091766793156786,347.0
1628091766921210771,348.0
1628091767048522660,347.0
1628091767179938085,347.0
1628091767306350606,347.0
1628091767433504482,347.0
1628091767561233224,347.0
1628091767689650213,346.0
1628091767818380530,347.0
1628091767945885695,345.0
1628091768073952377,346.0
1628091768224431744,346.0
1628091768348237761,348.0
1628091768474929520,344.0
1628091768605484133,347.0
1628091768713556435,346.0
1628091768841934124,346.0
1628091768970683330,347.0
1628091769096548518,348.0
1628091769227359467,17.0
1628091769355277723,17.0
1628091769483123705,17.0
1628091769609631580,17.0
1628091769743564644,17.0
1628091769865557859,17.0
1628091769993776825,17.0
1628091770120505187,17.0
1628091770263320140,17.0
1628091770376302216,17.0
1628091770504461436,17.0
1628091770633802406,346.0
1628091770766984423,348.0
1628091770888549191,347.0
1628091771016848663,346.0
1628091771163001527,347.0
1628091771284476628,345.0
1628091771401488427,346.0
1628091771529274185,347.0
1628091771673360310,348.0
1628091771801909423,350.0
1628091771929277551,347.0
1628091772058244617,347.0
1628091772185738392,348.0
1628091772313514942,346.0
1628091772441930361,349.0
1628091772565083205,346.0
1628091772695195014,348.0
1628091772809444066,346.0
1628091772939066435,347.0
1628091773066007127,347.0
1628091773193885312,348.0
1628091773321231857,347.0
1628091773452232599,347.0
1628091773574276300,348.0
1628091773702019593,17.0
1628091773830642320,17.0
1628091773957993787,17.0
1628091774087163812,17.0
1628091774215916463,17.0
1628091774343113902,17.0
1628091774471303363,17.0
1628091774602058364,17.0
1628091774730744784,17.0
1628091774858182339,17.0
1628091774986883939,17.0
1628091775121335475,348.0
1628091775254736032,348.0
1628091775382773454,346.0
1628091775510756939,346.0
1628091775622660984,348.0
1628091775751239786,347.0
1628091775882004305,345.0
1628091776005926247,347.0
1628091776135564161,348.0
1628091776265106844,347.0
1628091776403151249,350.0
1628091776518998453,348.0
1628091776647422452,351.0
1628091776774021350,350.0
1628091776902855556,347.0
1628091777030072608,346.0
1628091777176437655,349.0
1628091777287302511,345.0
1628091777413941376,346.0
1628091777544873703,345.0
1628091777675457613,346.0
1628091777803226570,348.0
1628091777928744333,348.0
1628091778059850197,346.0
1628091778187007340,17.0
1628091778313485501,17.0
1628091778437561054,17.0
1628091778566424368,17.0
1628091778694744539,17.0
1628091778824101472,17.0
1628091778951446405,17.0
1628091779079780452,17.0
1628091779212502034,17.0
1628091779337080766,17.0
1628091779465609405,346.0
1628091779593017706,347.0
1628091779721196464,345.0
1628091779850284488,348.0
1628091779977801857,346.0
1628091780105812016,346.0
1628091780233079790,345.0
1628091780362443628,346.0
1628091780489999752,348.0
1628091780617717050,348.0
1628091780745994710,346.0
1628091780874154854,347.0
1628091781002598564,346.0
1628091781129877769,347.0
1628091781258138797,345.0
1628091781387633864,345.0
1628091781513739120,344.0
1628091781640854332,350.0
1628091781769515481,346.0
1628091781896273497,349.0
1628091782025867618,347.0
1628091782154108781,345.0
1628091782281744720,345.0
1628091782409418824,346.0
1628091782536797624,348.0
1628091782667857239,17.0
1628091782793860713,17.0
1628091782921194232,17.0
1628091783049291899,17.0
1628091783179101816,17.0
1628091783305185842,17.0
1628091783433245868,17.0
1628091783560771118,17.0
1628091783689584024,17.0
1628091783818487489,17.0
1628091783947173178,17.0
1628091784073682784,347.0
1628091784201953586,346.0
1628091784328951337,346.0
1628091784457480356,344.0
1628091784585107012,344.0
1628091784713348010,348.0
